MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
2898,2876,2895,2897,2868,2873,2892
2886,2864,2884,2864,2856,2858,2880
2880,2857,2877,2855,2850,2871,2874
2883,2862,2882,2835,2854,2865,2878
2875,2853,2873,2823,2845,2875,2870
2878,2855,2878,2794,2848,2865,2871
2884,2860,2880,2775,2852,2868,2880
2879,2861,2879,2743,2853,2851,2879
2881,2859,2880,2736,2852,2868,2876
2883,2859,2881,2700,2851,2850,2875
2898,2874,2895,2693,2867,2865,2891
2882,2858,2879,2653,2851,2842,2875
2874,2851,2872,2654,2844,2866,2868
2880,2853,2877,2629,2848,2859,2871
2871,2849,2869,2621,2839,2875,2863
2876,2853,2873,2590,2845,2863,2869
2875,2851,2872,2569,2843,2862,2867
2878,2855,2875,2551,2847,2863,2871
2877,2853,2874,2531,2845,2864,2871
2879,2855,2875,2515,2848,2867,2873
2879,2856,2876,2491,2848,2865,2873
2878,2855,2875,2472,2845,2864,2860
2879,2856,2877,2450,2848,2865,2874
2880,2857,2877,2430,2849,2865,2877
2881,2859,2877,2408,2848,2866,2873
2884,2861,2879,2390,2854,2868,2878
2877,2853,2873,2366,2844,2866,2870
2878,2854,2875,2347,2846,2866,2871
2881,2858,2877,2323,2849,2866,2874
2879,2857,2875,2301,2848,2867,2873
2880,2858,2877,2279,2848,2867,2874
2880,2855,2876,2259,2847,2867,2874
2882,2859,2879,2234,2850,2866,2875
2879,2856,2875,2214,2848,2866,2873
2881,2859,2878,2190,2849,2867,2875
2881,2858,2877,2171,2849,2867,2874
2879,2856,2876,2146,2847,2866,2873
2881,2857,2877,2125,2848,2866,2873
2880,2858,2877,2103,2849,2866,2874
2880,2856,2876,2082,2848,2866,2873
2881,2858,2878,2059,2849,2867,2875
2880,2857,2877,2043,2849,2871,2874
2882,2859,2879,2015,2850,2866,2875
2879,2856,2877,1994,2848,2866,2873
2881,2858,2878,1972,2849,2868,2874
2880,2858,2877,1951,2848,2868,2874
2881,2857,2877,1927,2847,2867,2873
2879,2857,2876,1907,2849,2867,2873
2881,2857,2877,1882,2850,2866,2874
2880,2858,2875,1862,2848,2866,2874
2881,2857,2877,1840,2849,2867,2874
2881,2858,2877,1823,2850,2871,2873
2882,2859,2879,1796,2851,2866,2875
2880,2858,2877,1776,2849,2867,2874
2881,2858,2878,1752,2849,2868,2874
2882,2858,2878,1733,2849,2868,2875
2879,2857,2877,1709,2848,2867,2873
2881,2858,2878,1690,2849,2866,2874
2881,2859,2877,1666,2849,2867,2874
2879,2857,2877,1646,2848,2866,2873
2880,2858,2878,1623,2850,2867,2874
2880,2858,2877,1607,2848,2871,2874
2882,2859,2878,1580,2850,2867,2875
2879,2858,2876,1561,2847,2866,2872
2881,2859,2878,1538,2850,2868,2875
2881,2859,2878,1519,2850,2868,2875
2879,2858,2877,1495,2848,2867,2874
2880,2857,2877,1477,2848,2866,2873
2881,2859,2877,1454,2850,2866,2873
2881,2857,2877,1435,2849,2867,2873
2880,2858,2878,1412,2850,2867,2874
2881,2858,2877,1395,2849,2871,2874
2883,2859,2879,1371,2850,2866,2875
2880,2858,2877,1353,2848,2867,2874
2881,2857,2878,1331,2849,2868,2874
2879,2858,2878,1312,2849,2867,2874
2879,2857,2875,1289,2848,2867,2873
2880,2858,2876,1271,2848,2866,2874
2881,2857,2877,1251,2848,2866,2873
2879,2857,2875,1232,2847,2865,2871
2879,2856,2875,1211,2848,2866,2874
2880,2857,2875,1196,2848,2871,2873
2881,2858,2877,1172,2850,2866,2874
2877,2854,2875,1154,2844,2865,2867
2881,2858,2877,1135,2849,2866,2875
2881,2859,2877,1119,2849,2867,2875
2880,2857,2875,1098,2847,2866,2873
2879,2856,2876,1082,2846,2865,2872
2879,2856,2875,1061,2848,2865,2871
2878,2855,2875,1045,2846,2865,2870
2879,2856,2877,1026,2847,2866,2871
2879,2856,2876,1012,2847,2871,2871
2880,2858,2879,991,2849,2866,2874
2880,2857,2877,976,2847,2866,2874
2881,2858,2877,957,2849,2867,2874
2880,2858,2878,941,2848,2867,2874
2879,2856,2876,922,2847,2866,2872
2879,2857,2877,906,2847,2866,2871
2879,2857,2876,887,2848,2866,2873
2879,2856,2875,872,2846,2863,2871
2886,2864,2884,854,2854,2864,2878
2868,2845,2865,839,2836,2865,2861
2884,2860,2880,822,2850,2870,2876
2883,2862,2882,802,2851,2852,2878
2881,2859,2879,789,2849,2867,2875
2878,2854,2874,775,2845,2863,2870
2879,2857,2878,757,2849,2859,2873
2863,2839,2859,745,2832,2865,2855
2884,2862,2882,728,2854,2864,2878
2863,2841,2859,714,2831,2860,2855
2880,2858,2878,699,2849,2863,2876
2870,2846,2865,685,2837,2861,2862
2881,2859,2879,669,2851,2864,2873
2875,2854,2872,653,2845,2851,2869
2882,2860,2880,643,2851,2867,2876
2877,2854,2873,632,2845,2864,2869
2875,2854,2873,618,2845,2863,2870
2878,2855,2876,609,2847,2864,2871
2881,2857,2877,596,2849,2865,2873
2879,2857,2877,587,2848,2865,2872
2880,2858,2878,574,2849,2868,2874
2883,2859,2880,563,2852,2866,2875
2881,2857,2877,551,2849,2867,2873
2880,2857,2878,541,2850,2867,2874
2881,2858,2879,528,2850,2868,2875
2881,2859,2878,519,2850,2869,2875
2883,2862,2881,506,2854,2868,2878
2880,2858,2878,497,2850,2867,2874
2881,2859,2879,485,2851,2869,2875
2881,2859,2879,476,2851,2869,2875
2882,2859,2879,465,2850,2869,2875
2881,2858,2879,456,2850,2870,2875
2883,2860,2879,445,2851,2869,2876
2882,2860,2880,436,2851,2868,2875
2882,2859,2880,425,2851,2868,2875
2883,2859,2879,417,2851,2869,2875
2884,2862,2882,407,2854,2868,2878
2882,2859,2879,400,2851,2867,2874
2882,2859,2880,391,2851,2868,2875
2881,2860,2881,385,2851,2869,2875
2882,2859,2880,377,2852,2869,2876
2882,2859,2880,371,2851,2868,2875
2883,2861,2880,363,2852,2868,2877
2883,2860,2880,357,2853,2868,2876
2883,2859,2881,350,2851,2868,2877
2882,2859,2879,346,2852,2869,2877
2884,2861,2882,338,2854,2867,2878
2882,2858,2879,334,2851,2868,2875
2882,2859,2879,327,2851,2868,2875
2881,2859,2881,324,2851,2867,2875
2881,2858,2878,318,2851,2868,2875
2882,2858,2880,315,2851,2867,2875
2882,2859,2881,309,2852,2867,2875
2882,2859,2880,306,2852,2867,2875
2881,2859,2880,302,2851,2869,2875
2881,2859,2881,300,2851,2869,2875
2884,2862,2883,296,2854,2867,2878
2881,2858,2879,294,2852,2867,2874
2881,2859,2881,291,2853,2868,2876
2881,2859,2881,290,2852,2867,2875
2881,2858,2879,288,2852,2868,2874
2882,2858,2880,287,2851,2867,2875
2882,2859,2881,285,2852,2867,2875
