MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
605,626,611,590,594,631,633
602,624,609,589,592,631,632
606,628,611,589,591,629,630
601,624,608,589,587,630,627
603,624,609,586,591,627,629
598,617,603,585,588,626,631
602,623,607,585,589,628,628
598,618,602,581,588,626,628
600,619,603,585,587,626,626
596,618,604,584,585,625,624
597,620,605,583,588,623,630
599,616,602,582,587,622,626
599,618,603,587,585,626,629
597,617,600,583,587,625,627
601,620,607,587,590,631,629
603,621,611,586,587,626,632
602,622,607,586,651,627,631
604,625,610,590,592,630,632
605,626,611,591,595,633,633
608,629,613,592,596,634,636
609,629,615,593,597,635,638
596,631,615,595,598,636,638
610,632,616,596,599,637,640
612,631,616,596,599,637,640
611,632,617,596,599,638,640
610,632,615,597,599,637,640
611,631,616,596,599,638,639
611,631,615,595,598,637,639
610,636,615,595,598,636,639
609,630,614,595,598,635,642
608,628,614,593,596,635,637
608,628,613,592,596,634,640
607,628,613,592,595,634,635
606,635,612,592,594,633,635
606,627,611,591,595,632,632
606,627,615,591,593,632,633
606,626,611,591,593,636,634
605,626,611,590,594,632,634
606,626,610,590,594,631,634
605,627,610,592,594,631,634
606,626,611,590,594,631,633
607,627,611,593,593,632,634
605,627,612,591,593,632,633
605,626,611,591,593,631,634
606,594,611,590,594,632,634
604,627,611,590,594,632,621
605,626,611,590,596,632,634
606,626,610,590,593,632,634
606,626,615,590,593,631,634
605,626,610,590,596,632,633
605,626,611,589,593,631,633
603,626,611,589,595,631,633
604,625,610,590,592,630,632
605,625,610,589,592,630,632
604,625,609,589,592,631,633
610,625,610,589,592,631,632
604,626,610,589,592,630,635
604,625,610,589,592,631,633
602,626,610,589,592,630,633
604,626,610,589,593,634,633
605,625,610,590,592,631,633
606,627,586,590,593,635,634
605,627,611,590,627,633,633
605,626,611,590,593,632,634
605,626,611,590,593,632,634
605,626,612,567,594,632,634
605,626,610,589,593,632,634
605,627,611,589,594,631,634
610,626,611,589,593,631,634
605,626,611,588,593,631,633
604,627,614,589,592,631,631
605,626,611,590,593,631,634
606,626,611,589,593,631,633
606,626,611,589,592,630,635
605,625,610,589,593,631,633
606,625,611,588,592,631,634
605,626,611,590,593,631,633
605,626,610,590,593,632,633
604,627,612,590,593,631,636
605,626,611,591,594,632,634
606,627,611,590,594,632,634
606,627,610,591,593,633,635
605,627,617,590,593,606,634
605,627,611,591,593,637,634
604,626,611,590,593,632,634
605,627,611,590,592,636,634
605,625,611,590,593,631,634
611,626,611,589,592,636,633
605,626,612,590,597,631,632
605,625,611,589,592,631,633
604,626,611,589,593,631,633
604,624,610,591,596,631,633
604,626,610,589,593,631,633
603,624,610,589,591,631,631
604,625,610,589,592,630,632
604,624,609,588,591,630,633
606,625,610,590,592,630,632
605,624,611,588,593,630,632
590,625,609,589,593,630,631
603,625,610,589,593,630,632
603,626,611,588,593,631,632
603,621,608,591,592,629,633
604,623,609,587,581,631,633
603,623,610,588,590,630,630
604,625,609,587,592,626,635
601,620,603,586,588,627,628
602,620,608,583,590,626,628
598,618,608,583,588,623,629
600,622,607,583,589,625,629
597,617,605,580,587,621,627
600,621,607,585,585,627,625
595,619,602,584,586,625,627
601,621,581,586,587,626,631
595,618,601,583,630,626,625
599,620,605,584,588,627,628
601,623,608,589,590,628,630
600,623,609,576,591,628,631
605,626,610,589,591,631,632
608,627,618,590,596,633,634
609,629,615,594,597,640,637
609,631,621,595,599,637,638
611,633,623,597,599,642,640
613,634,618,596,600,637,641
613,634,620,598,601,639,641
614,634,619,598,601,639,641
613,634,620,598,602,639,642
613,632,618,598,601,639,641
611,633,619,597,601,639,640
611,633,617,597,600,639,640
612,633,617,595,599,638,640
611,632,616,594,599,638,638
609,631,616,594,598,637,638
609,630,605,594,597,634,637
608,629,615,593,596,614,637
607,629,614,596,595,634,635
607,627,614,592,594,633,635
607,632,613,591,594,633,634
606,627,613,592,595,633,634
610,626,613,590,594,632,634
606,627,613,592,593,632,634
606,626,612,591,594,632,634
606,627,612,590,594,632,634
606,626,613,591,595,632,635
606,627,612,591,593,632,634
604,627,611,591,594,632,635
605,626,612,591,594,632,634
605,626,611,591,594,632,634
606,626,611,591,594,631,638
606,626,611,590,593,631,633
627,625,612,590,594,631,638
605,625,611,589,593,631,633
605,626,611,590,592,631,634
606,625,612,591,594,632,633
607,626,612,590,577,632,634
606,627,612,590,594,636,635
606,626,613,592,595,633,635
607,628,617,591,595,632,635
606,627,612,591,594,632,635
