MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
629,670,657,637,640,677,681
628,669,656,637,639,675,680
628,669,655,637,640,676,680
629,670,657,638,640,677,681
628,670,657,639,640,677,681
627,669,656,637,639,676,681
627,669,655,637,639,675,680
629,671,657,637,640,677,682
628,669,656,638,640,676,681
627,670,657,638,639,676,680
627,669,656,637,639,676,680
628,670,656,638,640,678,681
628,669,656,636,640,675,680
628,669,656,636,640,676,681
627,669,656,635,640,675,681
627,670,657,637,639,675,681
628,670,658,637,640,676,681
628,670,657,637,640,676,679
627,670,656,636,639,675,682
628,669,656,637,640,675,681
628,669,657,637,640,677,681
627,670,656,637,639,675,680
627,670,656,637,639,676,680
627,669,656,636,639,676,680
627,669,655,636,638,675,680
627,668,656,636,639,676,680
627,669,656,636,639,676,681
627,668,655,635,638,675,680
627,669,656,637,639,676,680
628,669,656,638,639,676,681
627,670,657,637,639,675,681
626,668,654,635,638,674,679
626,668,654,635,638,675,680
627,669,656,638,638,722,680
626,669,656,635,638,675,680
627,669,656,636,639,676,681
628,669,656,637,640,676,681
628,671,656,638,640,676,682
628,669,656,637,640,676,680
628,669,656,636,639,676,680
607,644,681,637,622,677,661
628,669,656,638,640,677,681
628,669,656,637,640,676,681
626,669,656,636,638,675,679
629,669,658,637,640,675,681
627,670,656,638,639,676,680
626,668,655,636,638,675,680
627,670,656,637,639,676,681
628,669,656,637,640,676,680
627,669,656,636,639,675,681
628,669,656,637,639,676,680
627,670,656,636,639,675,680
628,669,657,637,639,676,680
627,669,656,636,639,674,679
627,669,656,637,639,676,680
628,670,656,637,640,676,681
628,670,657,642,640,682,681
629,670,656,637,640,677,682
628,669,657,637,639,676,680
627,669,656,636,639,675,681
628,670,657,637,640,676,680
629,669,656,636,640,675,680
628,669,656,637,640,676,681
633,674,661,636,644,676,686
627,670,656,637,639,676,681
626,668,655,635,638,675,680
627,669,654,636,638,675,680
629,670,656,637,639,677,681
627,669,655,635,638,675,680
627,669,656,636,638,675,680
627,670,657,637,638,676,681
