MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
600,662,625,607,619,652,670
600,662,624,604,617,649,670
594,657,619,607,613,651,664
599,660,623,603,617,647,668
594,657,620,601,613,645,665
596,657,621,603,614,647,666
596,659,621,602,614,646,670
596,660,623,602,616,646,667
598,660,624,603,617,647,668
594,656,619,601,613,645,664
596,658,621,603,614,646,666
597,658,621,602,616,646,667
597,659,622,603,615,645,667
596,658,620,600,615,642,666
599,661,623,604,617,648,669
598,661,623,601,616,645,669
599,661,623,605,617,648,669
600,663,625,611,619,650,672
602,664,627,608,620,652,672
604,666,628,608,621,653,673
604,666,629,609,623,654,674
604,667,629,611,623,655,675
604,667,630,611,623,656,675
605,669,629,611,624,654,675
604,668,630,610,624,656,675
605,668,629,611,624,655,675
604,668,630,610,595,656,676
605,667,630,611,622,655,675
603,666,629,608,622,657,674
603,666,629,608,622,654,674
602,666,627,608,622,652,673
602,665,627,607,620,652,672
600,664,626,607,618,652,670
579,664,626,605,619,650,670
600,663,625,606,619,650,669
599,662,624,605,618,650,669
600,663,624,604,617,649,669
599,662,624,604,618,649,668
600,661,624,605,617,649,669
599,662,624,606,618,649,670
601,662,624,606,618,649,670
600,662,625,610,618,649,670
601,662,625,607,619,650,670
600,663,626,606,619,654,670
601,663,625,605,619,651,670
601,663,626,607,619,651,672
601,663,626,606,618,650,671
601,664,626,606,619,650,671
601,663,626,607,619,650,671
601,663,626,607,619,650,718
601,663,625,606,619,650,671
601,663,626,606,619,650,670
601,663,626,607,619,651,670
601,663,626,605,619,650,670
600,662,625,606,619,650,670
601,663,625,606,618,650,669
600,662,625,606,619,651,669
601,662,624,606,619,650,670
600,663,626,606,618,650,670
601,663,626,606,619,650,671
601,663,627,607,618,650,671
602,663,626,606,619,650,670
657,663,626,607,619,656,671
601,664,627,606,618,650,671
601,663,626,606,619,650,670
601,663,626,606,619,651,671
600,663,626,607,619,650,671
600,663,626,606,620,650,670
600,663,625,606,619,649,670
600,663,626,607,618,651,671
601,665,626,606,619,651,671
600,663,626,606,618,650,670
600,662,625,606,619,651,670
599,662,626,605,619,649,669
599,662,625,605,618,649,669
600,662,625,605,618,650,670
600,663,626,605,619,650,670
600,662,625,606,619,626,670
600,663,626,606,619,651,670
601,663,626,583,620,651,670
601,663,627,606,619,650,671
601,664,626,606,619,650,670
601,663,626,606,619,651,670
601,663,626,606,618,650,671
600,663,626,606,619,650,670
600,662,625,606,619,649,669
599,662,624,606,619,650,669
600,662,624,605,619,649,669
599,662,625,605,618,650,669
600,662,625,604,618,649,669
599,663,625,605,619,649,669
600,662,625,608,585,649,670
600,663,625,606,618,650,670
600,663,626,605,619,649,670
601,663,625,606,618,650,670
601,663,626,607,619,651,670
601,663,625,606,620,650,670
601,664,626,607,619,650,670
600,663,625,607,619,650,670
