MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
681,666,648,634,628,676,672
683,668,652,635,630,678,674
679,666,648,629,627,674,671
681,666,649,630,628,674,672
681,666,649,630,627,674,672
682,666,650,631,629,674,673
682,666,649,631,629,674,672
682,667,650,632,629,674,674
682,667,650,631,629,675,674
683,668,651,638,630,681,675
683,669,650,632,630,675,675
684,669,652,633,631,676,675
684,669,651,634,631,677,675
685,669,652,634,631,677,676
684,670,653,634,632,678,677
685,671,653,635,632,677,677
685,671,653,635,632,678,677
686,671,653,635,633,677,677
685,670,652,634,631,678,676
684,669,652,634,631,677,676
685,670,652,633,633,677,677
683,668,651,636,630,678,674
683,667,650,631,630,673,674
680,664,647,629,627,672,672
679,666,648,629,626,672,671
680,665,648,630,627,673,670
680,665,648,630,627,673,672
682,667,650,630,629,672,674
681,666,649,630,628,673,673
681,667,650,632,629,674,673
682,668,650,633,629,676,674
685,669,653,633,631,676,675
684,669,652,632,631,676,675
684,670,652,634,631,677,677
684,670,653,633,632,677,675
685,670,654,635,633,677,676
685,671,653,634,633,678,676
686,671,654,635,633,678,677
685,670,653,635,633,678,677
686,671,654,635,633,678,677
687,672,653,635,634,679,678
685,670,651,634,632,678,675
682,669,650,632,629,676,673
682,666,650,631,628,674,673
682,667,650,630,628,673,674
683,667,651,636,629,679,674
681,667,650,630,628,674,673
683,667,651,632,630,675,673
682,668,651,635,630,679,673
683,668,651,633,630,676,675
683,668,650,632,629,676,675
684,669,651,634,630,675,675
684,669,651,633,630,676,676
685,669,652,634,631,677,676
685,670,652,633,631,677,676
685,671,653,640,633,682,677
686,671,652,634,633,678,678
686,671,654,635,633,678,677
684,670,652,639,632,682,677
685,670,652,634,633,677,676
682,667,650,634,629,677,673
686,670,654,635,632,677,677
680,665,648,631,627,673,672
682,667,649,631,628,674,673
681,667,649,631,628,674,673
683,667,650,633,629,675,674
682,667,650,631,629,675,674
684,668,651,632,629,675,674
682,667,650,632,629,675,674
683,668,652,638,631,681,675
684,669,651,633,631,676,675
684,669,652,634,631,678,675
685,669,652,633,631,677,676
685,669,653,635,631,679,675
685,670,652,634,632,677,677
686,670,653,624,632,659,676
686,670,653,622,632,651,676
686,671,653,628,632,673,676
684,670,652,624,631,674,675
685,669,653,645,632,688,676
683,668,651,633,630,675,675
689,673,656,634,635,677,679
682,667,650,625,628,667,673
680,664,648,629,627,673,672
681,664,647,629,627,672,672
681,666,648,630,627,674,672
681,666,649,630,628,673,672
683,667,649,630,628,674,673
682,667,649,631,627,674,673
683,668,651,636,630,680,674
683,668,650,633,630,675,675
684,668,652,633,630,676,675
684,669,651,633,631,676,675
686,669,653,634,632,677,676
684,670,653,635,632,677,677
686,670,654,635,634,678,677
686,671,653,634,633,678,677
687,670,654,634,633,678,677
684,669,652,633,631,677,676
685,669,653,637,631,680,675
685,670,652,633,632,675,676
690,673,657,632,635,674,680
684,667,651,626,630,669,675
682,667,649,630,629,673,673
681,666,649,631,628,674,672
682,667,650,636,630,678,674
683,667,650,632,631,674,674
683,667,651,632,630,675,674
683,668,650,635,629,679,674
685,668,652,631,630,675,675
682,668,651,632,630,675,675
684,669,652,634,631,676,676
684,669,652,633,631,676,675
684,670,653,634,632,677,676
683,669,652,634,632,677,676
685,670,654,638,632,682,677
685,671,653,634,633,676,676
685,670,653,633,632,677,676
684,669,652,638,631,681,675
686,669,652,632,632,676,676
681,666,648,633,628,676,673
684,668,651,632,630,675,675
679,665,647,629,626,673,670
681,666,649,629,627,673,672
680,666,648,630,627,673,672
682,667,650,630,628,674,672
681,667,649,631,628,674,673
681,667,650,631,629,674,673
682,667,650,632,629,674,673
683,667,651,635,630,680,675
683,670,653,633,631,676,675
683,668,652,633,631,676,675
683,669,652,633,631,675,676
686,670,653,633,632,677,676
685,669,652,635,631,677,676
685,670,654,634,631,678,677
685,670,653,634,632,677,677
685,670,653,634,631,677,677
685,670,652,634,631,677,676
684,669,652,636,631,680,675
683,669,651,632,631,674,674
690,674,656,631,635,674,678
683,667,650,625,629,668,675
742,725,714,629,683,672,742
695,666,649,630,662,673,688
664,649,630,630,595,672,646
670,658,628,631,611,674,658
689,673,655,631,633,674,678
683,667,649,632,630,675,674
685,671,653,635,633,680,678
685,669,653,632,631,676,677
685,670,652,633,632,676,676
684,669,651,633,631,676,675
684,670,652,633,632,677,676
685,669,653,634,632,677,676
685,671,653,634,631,677,677
685,670,653,634,632,676,675
685,670,653,633,631,677,676
686,670,653,635,632,678,676
685,670,652,640,631,682,676
685,669,653,631,631,675,675
688,673,656,631,635,675,679
682,667,650,625,629,668,672
679,665,648,629,626,672,670
681,665,648,630,627,672,672
681,666,649,630,628,673,672
681,666,649,630,628,673,672
681,666,649,630,628,673,672
681,666,651,632,629,674,673
682,667,650,635,629,680,674
686,670,653,632,631,675,675
683,669,651,633,631,676,675
684,669,653,634,630,677,675
684,669,652,634,631,676,676
685,669,653,635,632,678,676
685,670,653,634,632,677,676
687,671,653,635,634,678,677
686,671,653,635,632,677,677
686,671,654,635,633,677,677
684,669,651,636,631,680,676
687,671,654,632,633,675,678
687,673,655,631,634,675,680
682,668,650,627,629,669,674
680,665,648,629,627,673,672
680,665,648,630,627,673,672
681,666,648,630,627,672,672
682,666,649,631,628,673,673
681,666,648,630,628,674,672
682,667,649,631,628,674,674
681,667,649,631,628,673,674
683,667,650,636,630,679,675
683,669,651,632,631,675,675
683,669,651,633,631,676,674
683,668,650,637,630,681,674
684,669,652,634,631,676,675
683,669,651,636,630,680,675
687,671,654,634,633,676,678
684,669,651,633,631,676,675
685,670,653,639,631,682,676
684,669,651,632,631,676,675
682,666,649,633,628,675,672
684,669,650,632,630,675,675
680,664,646,631,626,672,670
680,665,647,629,627,672,672
681,666,650,630,627,673,672
681,667,649,631,627,673,672
682,666,650,631,628,674,673
682,667,650,632,628,675,674
683,667,650,632,629,675,673
683,668,651,632,630,676,674
684,669,652,638,631,681,675
687,671,654,635,634,677,678
686,670,652,634,632,678,676
685,670,653,639,632,682,677
686,670,654,635,633,678,677
685,671,653,640,632,682,677
688,671,657,636,635,678,678
685,671,653,634,632,678,677
686,671,654,640,633,684,677
684,669,652,633,631,678,675
683,667,650,635,630,678,673
683,668,651,633,631,676,675
680,665,648,630,627,673,672
680,665,648,629,627,673,671
681,666,649,631,628,673,672
682,667,649,633,628,677,673
685,669,651,631,631,673,675
681,666,649,631,628,674,673
682,667,650,638,629,679,673
683,667,650,631,630,674,674
683,667,651,632,630,676,674
682,669,651,633,630,676,674
685,669,652,634,631,677,675
684,669,651,633,630,677,675
685,670,652,634,632,678,676
684,670,653,640,631,681,676
687,671,655,635,635,678,679
684,669,653,634,632,678,676
685,670,653,639,633,682,676
683,669,653,633,631,676,677
682,667,649,635,628,677,673
681,667,650,633,629,676,673
680,665,648,630,627,673,671
680,665,648,629,627,673,671
682,666,649,630,629,673,672
682,666,649,634,628,677,672
686,669,653,631,631,674,677
682,666,649,631,629,675,673
683,668,651,637,629,681,674
683,667,650,632,630,676,674
685,668,651,633,631,677,675
684,669,651,633,631,677,675
685,670,652,634,632,677,676
685,669,652,634,631,677,676
686,671,654,635,632,678,677
686,671,653,638,632,681,676
691,674,657,635,635,678,679
685,670,652,634,632,678,675
686,670,653,639,633,684,677
684,669,651,633,630,677,675
682,666,649,634,629,678,672
683,669,651,633,631,677,675
680,665,648,630,627,673,671
680,666,648,629,627,673,671
682,666,649,630,629,673,672
681,666,649,630,628,674,672
681,667,649,631,629,674,673
681,667,649,630,629,674,673
682,666,650,632,629,674,674
682,667,650,631,629,675,674
684,668,651,636,630,680,674
686,671,653,632,632,675,677
684,669,653,633,631,677,675
685,669,651,639,631,682,675
685,671,653,634,632,677,676
685,670,653,637,631,680,676
689,673,657,635,635,678,679
685,669,652,634,632,677,676
685,670,652,640,632,683,676
684,669,652,633,631,676,676
682,666,649,634,628,677,673
682,667,649,632,629,676,673
679,665,648,630,627,672,670
680,666,648,628,627,672,672
681,666,649,630,628,672,672
680,665,648,629,627,673,671
682,667,649,631,628,673,673
681,666,649,630,628,674,673
683,667,650,632,629,675,674
682,667,649,634,629,678,673
687,671,655,632,634,676,679
682,668,650,633,629,676,674
685,669,651,633,631,676,675
683,669,652,633,631,677,675
684,670,652,634,632,677,676
684,670,653,634,631,677,675
686,670,654,634,633,678,676
685,670,653,632,632,675,676
685,670,654,635,632,678,675
683,669,651,636,630,680,674
687,671,654,632,633,674,678
688,673,655,633,634,703,680
682,666,648,600,628,639,672
680,665,647,608,627,650,672
681,666,648,630,628,674,672
681,665,648,624,627,672,673
682,667,649,636,629,679,672
681,667,649,632,628,673,672
682,667,650,633,629,676,673
682,667,650,634,629,677,674
686,671,654,632,633,676,677
683,668,651,632,630,675,674
684,670,651,632,631,676,675
684,669,651,633,631,676,675
685,669,653,634,632,677,675
685,671,653,635,632,678,677
685,670,654,634,632,677,676
685,671,653,635,632,677,677
685,670,654,634,633,678,677
686,670,653,639,632,682,677
687,673,655,633,635,675,679
688,674,657,633,635,675,680
683,669,652,627,630,671,674
681,666,648,631,628,675,673
683,667,650,630,630,674,673
682,667,650,634,629,676,673
686,671,654,631,634,675,678
682,667,650,632,629,675,673
684,669,652,638,631,681,675
683,668,650,632,631,675,675
685,669,652,632,631,676,675
684,669,651,633,631,676,676
685,669,653,633,632,677,676
685,669,652,634,632,677,675
685,669,654,634,633,678,677
685,670,653,637,632,680,677
690,675,657,633,635,677,681
684,670,652,635,631,677,676
686,670,652,638,631,682,675
683,668,651,632,630,676,675
681,666,649,632,628,675,672
681,667,649,632,629,676,673
679,664,648,629,626,672,670
684,669,652,630,631,672,676
681,665,648,630,628,672,672
680,666,648,631,628,674,672
682,667,650,631,628,673,673
681,667,649,632,628,674,673
683,667,651,632,629,674,674
682,668,650,635,629,677,674
689,673,655,632,635,676,679
683,669,651,633,631,675,675
685,670,653,633,632,677,675
684,669,652,634,631,677,676
685,670,652,634,633,677,676
684,670,652,633,632,676,676
686,670,653,633,632,677,677
685,671,652,634,632,677,676
686,670,653,633,633,677,676
685,670,652,637,631,680,675
686,671,654,631,633,675,678
688,673,656,633,634,675,678
683,667,650,626,629,670,673
680,665,648,630,627,672,672
681,666,649,629,628,672,672
681,666,648,631,628,673,672
683,667,651,631,629,673,678
681,666,649,631,628,675,675
682,668,650,631,629,675,670
683,669,651,632,630,675,675
704,680,680,634,695,678,716
675,653,699,633,629,676,667
676,663,642,633,607,675,658
677,664,635,639,620,682,667
691,676,658,634,637,676,681
685,670,652,637,633,680,676
691,675,659,633,638,677,683
685,670,653,634,632,677,676
685,671,653,638,633,683,677
684,669,651,634,630,676,674
682,667,649,633,629,676,673
684,669,651,634,631,676,674
680,665,647,628,627,672,671
681,665,649,629,627,672,671
681,666,648,629,627,673,671
681,665,649,631,628,673,672
681,666,649,630,629,673,672
681,667,650,631,629,674,672
682,667,649,632,629,674,673
682,668,651,634,630,678,673
687,671,655,633,633,675,679
683,668,652,633,631,675,675
684,669,652,632,631,676,675
685,669,652,634,631,677,675
684,670,652,634,632,677,676
685,670,653,635,633,678,677
685,671,654,634,632,677,677
685,669,653,634,632,677,677
685,671,653,635,631,677,676
685,669,653,637,632,680,676
686,672,655,631,633,675,678
690,674,657,634,635,675,680
681,668,650,627,628,669,674
681,666,649,630,628,674,672
681,667,648,631,628,674,673
683,667,650,631,628,674,673
682,667,649,631,628,674,673
683,667,650,632,629,674,673
681,667,649,631,628,675,673
682,667,651,633,630,675,674
683,668,651,634,629,676,674
689,671,655,633,634,675,679
683,669,651,633,629,676,674
684,668,652,639,630,681,674
683,669,651,633,630,676,675
683,669,651,636,631,678,675
689,674,655,633,635,676,679
684,669,652,633,631,676,675
683,668,651,638,630,681,675
683,668,651,633,630,676,674
681,666,648,632,627,675,672
684,668,653,631,631,675,675
679,665,648,629,627,673,670
680,664,648,629,627,672,670
680,665,648,629,627,673,671
681,666,650,632,628,674,672
686,671,654,630,631,674,677
681,666,649,631,629,673,673
682,666,649,636,629,679,673
682,668,650,632,630,675,674
682,667,650,631,630,675,675
684,667,652,632,631,676,675
683,668,651,632,631,675,675
685,669,652,633,631,676,676
684,669,652,634,631,677,674
685,669,653,636,631,678,676
689,675,657,634,636,676,681
685,670,653,634,632,676,675
685,669,652,639,631,682,675
685,669,653,633,631,677,675
682,666,650,632,628,676,673
683,669,652,633,631,676,675
680,664,646,629,626,673,669
680,665,649,629,627,673,671
678,663,647,629,625,673,670
681,666,649,633,628,676,672
685,671,653,630,632,673,677
682,666,649,630,628,673,672
681,667,649,636,628,680,672
683,668,650,632,629,675,674
683,668,650,631,629,675,673
684,668,652,633,631,676,674
684,668,650,633,630,676,675
685,670,653,634,631,677,675
683,670,651,633,631,676,676
686,670,653,636,633,679,676
689,675,658,634,637,677,681
685,671,653,635,632,678,676
684,670,653,639,631,682,676
685,669,652,634,631,677,675
682,667,649,634,629,676,673
684,669,652,632,631,674,675
679,664,647,629,626,673,671
681,666,648,631,627,673,672
679,666,648,630,627,672,671
681,666,649,630,628,673,673
681,667,649,630,627,674,672
683,667,650,631,628,674,673
681,667,649,631,629,674,673
683,668,652,633,630,676,674
688,674,656,631,634,675,679
683,669,652,633,631,676,675
683,668,651,633,631,676,675
685,669,652,634,631,677,675
684,669,652,634,631,676,675
687,670,654,635,633,677,677
685,671,652,634,632,678,677
686,671,654,635,633,678,677
686,671,653,634,633,678,678
687,670,654,636,633,679,677
686,670,653,633,633,676,677
689,674,656,634,635,677,680
682,666,650,627,629,669,673
681,666,649,631,628,673,672
681,666,648,629,628,673,672
682,666,650,631,628,674,673
682,666,649,630,628,674,672
682,666,649,632,629,674,673
682,667,650,631,629,674,673
682,667,651,633,629,676,673
688,672,655,631,634,675,679
683,668,650,633,630,675,674
682,669,651,632,630,676,674
685,669,652,634,631,676,675
684,669,651,632,630,676,674
685,669,653,634,631,677,676
685,670,653,633,631,676,676
685,670,653,634,632,678,676
685,670,652,634,631,677,676
685,669,652,635,631,678,675
686,671,653,632,633,675,676
688,672,656,634,634,677,678
682,667,649,626,629,670,673
682,666,649,631,628,674,672
681,666,649,630,628,673,672
682,666,650,632,628,675,672
687,671,654,630,634,674,678
682,667,650,632,629,675,673
682,667,650,637,628,679,674
683,668,651,633,630,675,674
683,668,651,632,629,675,674
684,668,652,633,630,676,675
683,669,651,632,631,675,675
684,669,652,635,631,677,676
685,669,652,634,631,677,676
686,669,653,635,632,678,676
691,675,658,634,637,678,682
686,671,653,636,632,678,677
685,670,651,640,631,683,676
685,670,653,634,632,677,676
681,667,649,633,629,676,673
685,669,653,632,631,675,675
680,664,647,629,626,673,671
681,665,649,630,628,674,672
681,666,649,629,627,672,672
682,666,649,631,628,674,672
681,667,649,631,628,673,673
683,667,650,669,629,728,673
682,667,650,636,630,707,673
683,667,651,603,630,646,673
689,674,656,608,635,658,680
684,669,652,636,631,681,675
684,669,651,631,631,676,674
685,670,652,638,632,681,676
684,670,652,635,631,677,676
686,670,654,635,633,679,676
685,670,653,634,632,677,677
686,671,653,634,633,678,676
686,671,653,634,631,677,676
684,669,652,633,631,678,675
685,671,653,632,633,675,676
689,673,656,633,635,677,680
681,667,649,627,629,670,672
681,665,649,629,628,673,672
681,666,649,630,628,674,672
683,667,650,631,629,673,673
681,667,649,631,629,674,672
684,667,650,631,630,674,673
682,667,649,631,629,675,673
683,668,651,632,630,675,675
690,674,656,633,635,675,681
685,670,653,633,632,676,676
684,670,653,635,631,677,676
686,670,654,634,632,677,676
685,671,653,635,632,678,677
687,671,655,635,634,679,677
686,672,654,635,633,678,677
687,672,656,636,634,679,677
685,671,654,635,633,678,677
686,670,654,636,634,678,677
686,672,653,633,633,676,677
688,673,656,634,635,677,679
681,666,649,627,628,670,673
680,666,648,629,627,672,672
680,666,649,629,628,673,672
682,667,649,630,628,672,672
681,666,649,631,628,672,672
683,666,650,631,629,674,672
682,666,649,631,628,674,672
683,666,650,631,629,674,672
682,667,650,632,629,675,673
683,669,651,632,630,675,674
683,668,651,633,630,675,675
684,669,652,632,631,676,675
684,669,652,633,631,676,675
685,670,653,634,632,678,676
685,670,652,634,632,677,676
685,670,653,634,632,677,677
685,669,652,634,632,678,676
684,669,652,634,631,676,676
687,673,654,633,634,675,678
687,672,655,633,634,677,678
680,666,650,627,628,669,672
681,665,648,629,628,672,671
680,666,650,630,627,672,671
682,667,650,630,629,673,672
681,667,649,630,628,673,672
682,667,650,630,629,674,672
683,668,650,632,629,675,673
683,668,651,631,630,675,674
682,667,650,633,629,674,674
683,668,651,632,630,676,675
682,669,651,632,630,675,674
687,672,655,632,634,676,684
684,669,651,634,632,676,679
685,670,653,634,633,676,673
686,670,652,634,632,678,678
671,648,644,634,647,677,675
661,643,661,634,608,678,652
683,670,650,632,618,677,667
683,670,643,633,627,676,672
693,677,660,634,640,677,684
682,667,649,628,629,670,672
683,668,650,629,629,673,674
681,666,649,631,628,673,672
681,667,649,630,629,673,673
681,667,650,631,628,674,672
682,668,650,631,629,674,674
682,667,650,632,628,675,674
682,668,651,631,629,674,674
690,674,657,633,635,676,680
684,668,651,633,631,675,674
685,669,652,634,631,676,675
684,670,652,634,631,676,676
684,670,652,635,632,677,675
685,671,653,634,632,678,677
685,670,654,635,632,677,676
685,670,653,634,631,677,677
685,670,653,635,632,678,676
683,669,652,633,631,677,675
686,672,654,634,633,676,677
688,672,655,635,634,678,678
682,666,649,627,628,670,672
680,665,648,629,627,673,671
681,666,649,630,628,672,671
682,666,650,630,628,672,672
682,667,650,631,629,674,673
682,667,650,631,629,674,673
682,667,651,632,629,675,673
684,669,651,632,631,675,675
684,669,652,632,631,676,674
689,675,658,633,636,676,681
