MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
795,731,707,756,723,784,743
798,731,707,755,723,779,743
797,731,707,755,723,779,743
797,731,705,756,723,779,743
797,731,707,755,723,779,743
795,731,706,754,723,778,743
795,731,705,755,723,779,743
799,731,705,755,723,778,743
797,730,705,754,723,778,743
795,731,703,754,723,779,743
795,731,703,754,723,777,743
795,730,704,754,722,778,743
797,730,705,753,723,778,743
797,731,705,754,723,778,743
797,731,705,754,723,778,743
795,731,705,755,723,778,743
799,731,705,754,723,779,743
795,731,705,754,723,779,743
795,731,705,753,723,779,743
795,731,706,752,723,777,743
795,731,705,755,723,777,743
795,731,705,755,723,778,743
797,731,706,755,723,778,743
798,731,705,755,723,778,743
797,731,705,755,723,775,743
797,731,706,755,725,779,743
797,731,707,756,723,779,743
799,731,707,756,725,779,743
799,731,707,757,725,780,745
797,731,707,757,725,781,745
799,733,707,757,725,781,745
799,731,707,757,725,781,743
799,731,707,757,725,781,743
799,731,707,756,723,780,743
798,731,707,755,723,779,743
799,731,707,755,723,779,743
798,731,707,756,723,779,743
797,731,705,755,723,779,743
799,731,707,756,723,779,743
797,731,707,755,723,779,743
799,731,707,756,723,780,743
799,734,707,756,723,779,746
797,731,707,757,725,780,743
797,731,707,756,725,779,745
799,733,707,757,725,779,743
799,732,707,755,723,779,743
799,731,707,755,723,779,743
795,731,707,756,723,779,743
797,731,705,755,723,779,743
797,731,705,756,723,778,743
797,731,706,755,723,778,743
798,730,707,755,723,779,743
797,731,706,755,723,779,743
798,731,706,754,723,779,743
798,731,706,755,723,779,745
799,731,705,755,723,779,743
797,731,706,755,723,779,743
799,731,707,755,723,779,743
799,731,705,754,725,779,745
797,731,705,754,723,779,743
797,731,705,755,723,779,743
797,731,705,755,723,779,743
797,731,705,755,723,779,743
795,730,705,754,723,778,743
797,731,705,755,724,779,743
797,731,706,755,723,779,743
795,731,707,755,723,779,743
799,731,707,757,723,779,743
797,733,707,755,723,779,743
799,733,707,755,725,779,743
799,731,707,755,723,779,743
799,731,707,756,725,781,745
799,731,707,757,725,779,745
799,731,707,758,725,781,743
799,733,707,758,723,781,745
797,733,707,757,725,779,745
797,731,707,755,723,779,745
799,731,707,755,723,779,745
798,732,708,755,723,779,743
795,731,705,754,723,779,743
797,731,706,755,723,779,743
795,731,705,755,723,779,743
797,729,705,754,723,778,743
795,730,703,754,723,777,743
795,731,703,754,723,778,743
797,731,705,753,723,779,743
795,730,705,754,723,779,743
795,731,705,754,723,778,743
795,730,705,754,723,778,743
795,731,705,754,723,779,743
795,731,705,754,723,778,743
795,729,703,753,721,779,743
797,730,705,755,723,779,743
796,729,705,754,723,777,743
797,730,705,753,723,779,743
795,729,705,754,723,777,743
797,731,705,754,723,777,743
795,731,705,755,723,778,743
797,731,705,755,723,779,743
797,731,705,755,723,777,743
796,731,705,755,723,778,743
795,731,705,754,721,778,743
797,729,703,753,721,777,743
795,730,703,753,721,777,743
795,730,703,753,721,777,743
795,730,703,753,721,778,743
797,731,705,753,721,777,743
795,731,705,754,722,778,743
797,731,705,755,723,778,743
797,731,705,753,723,779,743
795,731,705,755,723,779,743
799,731,706,753,723,778,743
797,731,707,755,723,779,743
797,731,707,755,723,779,743
799,731,707,756,724,780,743
799,731,707,755,725,781,745
799,731,707,757,723,782,746
799,733,707,758,726,781,747
799,733,707,759,726,781,746
799,735,707,758,727,781,746
801,735,707,759,725,781,746
799,735,709,760,727,781,747
799,735,709,758,727,781,747
799,733,709,759,727,783,745
799,734,707,759,727,782,747
799,734,709,758,726,781,747
799,735,710,758,725,780,746
799,733,709,757,727,781,746
799,731,707,758,725,781,745
799,731,707,757,725,781,745
799,731,707,757,725,781,743
799,733,707,755,725,779,743
798,731,707,756,723,780,745
799,731,707,755,725,780,743
798,731,707,755,723,779,743
795,731,705,755,723,779,743
798,731,707,757,723,780,743
797,731,707,755,723,779,745
797,731,707,755,723,779,743
798,731,705,755,723,779,743
797,731,706,755,723,779,743
797,731,705,753,723,778,743
797,731,706,755,723,779,743
797,731,707,755,723,779,743
799,731,707,755,723,779,743
799,731,707,756,723,779,745
799,731,707,756,725,779,743
799,731,707,755,723,779,745
799,731,707,757,725,780,743
799,731,707,757,723,779,745
799,731,707,755,725,780,743
797,731,707,755,723,779,743
797,731,707,755,723,779,743
797,731,706,755,723,779,743
795,731,706,755,723,779,743
795,731,705,754,723,779,743
797,731,705,754,723,778,743
797,731,705,755,723,779,743
799,731,707,755,723,779,743
797,731,706,755,723,779,743
799,731,707,755,723,779,743
799,731,707,755,723,779,743
799,731,707,756,723,779,743
797,731,707,755,723,779,743
799,731,707,755,723,778,743
797,731,707,755,723,779,743
795,731,705,755,723,778,743
795,731,705,754,723,778,743
795,731,705,754,723,778,743
797,731,705,755,723,778,743
797,731,705,754,723,778,743
797,731,705,755,723,779,743
797,731,705,755,723,779,744
795,731,706,755,723,779,743
797,731,706,755,723,780,743
798,731,707,754,723,779,743
795,731,706,755,723,779,743
798,731,706,755,723,779,743
795,727,706,755,723,779,743
797,731,705,755,723,779,743
797,731,705,753,723,778,743
