MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
793,729,711,751,719,775,735
791,727,711,751,719,775,739
791,730,711,751,719,775,741
795,729,711,753,719,777,741
795,731,714,753,721,778,741
795,731,713,753,722,777,742
795,731,714,753,719,777,742
795,731,714,753,722,777,741
795,730,711,752,719,777,741
793,731,711,751,719,776,741
791,727,711,757,719,768,739
791,730,711,751,719,775,739
791,729,711,751,719,776,739
791,731,711,751,719,775,739
794,727,711,752,719,776,739
793,727,711,751,719,775,739
791,729,711,751,719,775,739
791,727,711,751,719,775,739
791,727,710,750,717,775,739
791,727,707,750,717,775,739
791,727,709,750,718,773,739
791,727,711,750,719,775,739
791,727,710,751,719,773,739
793,729,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,775,739
791,729,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,750,719,775,739
793,727,711,751,719,775,739
793,727,711,751,719,775,741
794,730,711,751,719,776,742
791,727,711,752,719,776,741
791,727,711,752,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,775,739
793,729,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,777,739
793,727,711,752,719,775,741
793,729,711,753,721,776,741
793,727,713,751,721,777,742
794,731,711,753,719,777,741
795,731,714,753,721,777,742
791,729,713,753,721,776,741
795,731,711,753,721,777,742
793,731,711,751,721,776,741
791,729,711,751,719,775,739
793,727,711,751,719,776,739
791,727,711,751,719,775,741
791,727,711,751,719,774,739
791,727,711,751,719,775,739
791,727,709,749,719,773,739
791,727,711,749,717,773,739
791,727,709,749,717,775,739
791,727,710,750,717,773,739
791,727,709,750,717,774,737
791,727,709,750,717,774,739
791,727,710,751,717,774,739
791,727,711,750,719,775,739
791,727,711,750,719,775,739
791,727,711,751,719,775,739
791,727,711,750,719,775,739
791,727,711,750,719,775,739
791,727,711,750,719,775,739
791,727,710,750,719,775,739
791,727,709,749,719,774,739
791,727,709,750,717,773,738
791,727,709,750,719,773,739
791,727,709,749,717,774,739
791,727,710,751,717,774,739
791,727,709,750,719,774,739
791,727,711,750,719,774,739
791,727,711,751,719,775,739
791,727,711,750,717,774,739
791,727,709,750,719,773,739
791,727,709,750,719,774,739
791,727,709,749,717,774,739
791,727,709,749,717,774,739
791,727,709,749,715,773,739
791,727,709,749,718,773,739
791,727,709,749,719,775,739
791,727,709,750,717,774,739
791,727,709,749,719,774,739
791,727,709,749,719,773,739
791,727,709,751,717,774,739
791,727,709,749,718,774,738
791,727,709,751,717,774,739
787,723,707,749,719,774,739
791,727,711,749,719,771,739
793,727,711,751,719,775,739
791,729,711,751,719,775,739
793,727,711,751,719,775,741
793,729,711,751,719,775,739
791,730,711,751,719,775,739
791,729,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,750,717,775,739
791,727,711,750,718,775,739
791,727,711,750,719,774,739
793,729,711,751,719,775,739
793,729,711,751,721,775,741
795,731,711,753,719,777,741
795,731,713,751,721,777,741
791,731,711,753,719,775,741
791,729,711,751,719,775,741
794,730,711,750,719,787,740
791,727,711,751,719,775,739
791,727,709,751,718,774,739
791,727,710,750,717,774,739
791,727,711,750,718,775,739
791,727,711,750,719,775,739
791,727,711,751,719,775,739
791,729,711,751,719,775,739
791,727,711,751,719,777,741
791,729,711,753,719,775,739
791,728,711,751,719,775,739
794,729,711,751,719,775,741
791,727,711,751,719,775,739
791,727,711,751,719,775,739
792,729,712,751,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,775,739
791,727,711,751,719,775,741
794,727,711,751,719,775,741
794,727,711,751,720,775,739
791,727,711,751,719,775,739
