MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
871,819,853,882,823,872,839
871,821,851,881,823,871,839
871,819,853,881,823,872,839
871,819,851,881,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,853,879,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,853,879,823,871,839
871,819,851,881,823,871,839
871,819,851,882,823,872,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
869,817,849,879,821,870,839
871,819,851,880,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,881,823,871,839
871,819,851,880,823,871,839
871,819,853,880,823,871,839
871,819,854,879,823,872,839
871,819,851,881,823,871,839
871,819,851,881,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,870,839
871,819,853,881,823,871,839
871,819,851,881,823,871,839
871,819,853,879,823,871,839
871,819,853,881,823,873,839
871,819,853,881,823,873,839
871,821,853,879,823,872,839
871,819,854,881,823,873,839
871,821,853,882,823,874,839
875,823,855,883,826,871,841
873,821,855,882,825,873,839
871,821,855,883,826,874,841
873,821,855,883,827,873,842
871,821,855,883,827,873,842
874,821,853,883,826,873,839
871,819,854,881,827,873,842
871,821,853,882,823,873,839
871,819,853,881,823,871,839
871,819,851,880,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,880,823,871,839
875,821,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,870,839
871,819,851,879,823,871,839
871,819,851,881,823,871,839
871,819,851,881,823,871,839
871,819,851,880,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,870,839
871,819,851,879,823,870,839
871,819,851,879,823,871,839
871,819,851,879,823,870,839
871,817,851,879,823,871,838
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
871,819,851,879,823,871,839
869,819,851,879,823,870,838
