MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
863,799,771,818,791,847,807
863,799,773,818,791,845,807
863,799,773,819,791,847,807
863,799,774,818,791,847,809
865,799,773,819,791,847,807
863,799,773,819,791,847,809
866,799,775,819,791,849,811
866,799,775,819,791,848,811
863,799,775,819,791,847,809
863,799,773,818,791,847,809
867,799,771,819,791,848,809
863,798,773,817,791,847,807
863,798,771,818,791,847,807
863,799,771,819,791,847,809
863,797,771,817,791,847,807
863,799,773,819,791,847,810
867,799,773,819,791,847,811
866,798,772,819,791,848,810
867,799,775,819,791,849,810
863,799,775,820,791,849,811
867,799,775,820,793,849,811
867,799,775,820,793,850,811
866,799,775,821,795,850,811
867,799,775,821,795,849,811
867,799,775,821,794,850,811
867,799,775,820,795,849,811
867,799,775,820,793,849,811
867,799,775,821,793,849,811
867,799,775,821,794,850,811
865,801,775,821,794,849,811
867,801,775,821,795,850,811
867,801,775,821,795,850,811
867,799,775,821,795,850,811
867,802,777,823,795,851,811
867,799,775,822,795,851,811
865,799,775,821,791,849,811
867,799,775,820,791,850,811
865,799,775,821,791,850,811
866,799,775,819,791,848,811
863,799,773,819,791,847,810
865,799,773,819,791,847,811
865,799,774,819,791,849,810
863,799,775,819,791,849,811
863,799,775,819,793,849,807
866,799,775,819,791,847,810
867,799,775,819,791,849,811
867,799,774,819,793,848,809
863,799,775,818,791,848,809
865,799,774,819,791,847,807
863,799,773,819,791,847,807
863,797,773,817,791,847,807
863,799,771,817,791,847,807
863,799,771,818,791,847,807
863,799,773,818,791,847,807
863,799,773,819,791,847,807
863,799,775,819,791,847,810
865,799,775,819,791,847,811
865,799,775,819,791,848,809
867,799,775,819,791,848,811
863,799,775,819,791,849,810
863,799,775,819,791,849,809
865,799,775,819,795,847,811
863,799,773,819,791,847,809
863,797,773,819,791,847,809
863,799,773,819,791,847,810
866,799,773,819,791,848,810
865,799,775,819,791,849,811
865,799,775,819,793,849,811
867,799,775,821,793,849,811
867,799,775,821,794,849,811
866,799,775,820,795,850,811
867,799,775,821,795,849,810
865,799,775,819,795,849,811
867,799,775,819,794,848,811
867,799,775,819,794,847,811
866,799,775,819,791,849,811
867,799,775,820,793,847,811
863,799,775,821,791,849,811
865,799,773,820,791,847,809
865,799,775,819,791,847,811
863,799,775,818,791,847,813
863,799,773,819,791,847,809
863,799,773,819,791,847,807
863,797,773,817,791,847,807
863,797,771,824,791,839,807
863,798,773,817,791,847,809
863,799,774,818,791,847,809
863,799,774,819,791,848,807
865,799,773,819,791,847,809
865,799,775,820,791,849,811
866,799,775,819,793,849,811
865,799,773,819,793,849,811
865,799,775,820,793,850,811
866,799,775,819,794,849,811
866,799,775,820,794,847,807
866,799,773,821,791,849,810
865,799,773,819,791,847,810
863,799,775,819,791,848,809
865,799,773,819,791,848,807
865,799,774,819,791,847,810
866,799,774,819,791,849,811
863,799,773,819,791,849,809
863,799,774,819,791,848,809
865,799,775,818,793,849,811
867,799,775,819,793,849,811
865,799,774,819,791,847,810
865,799,773,819,791,849,809
866,799,773,818,791,849,809
865,799,774,819,791,848,807
866,799,773,819,791,847,807
863,799,773,819,791,847,809
863,797,771,818,791,847,809
863,798,773,818,791,848,807
863,799,773,819,791,848,809
863,799,774,818,791,847,807
863,799,773,819,791,848,809
863,799,773,818,791,847,810
863,799,773,819,791,847,807
865,799,773,818,791,847,811
866,799,773,819,793,848,809
866,799,775,819,791,848,811
865,799,775,819,791,847,809
863,799,775,819,791,847,807
865,799,775,819,791,848,809
863,799,773,819,791,849,807
863,799,773,819,791,847,807
867,799,773,819,793,849,811
865,799,773,819,791,847,810
865,799,774,820,791,849,809
865,799,775,819,791,849,811
867,799,775,821,793,849,811
866,799,775,819,793,849,809
865,799,775,819,793,849,809
865,799,775,819,793,849,811
863,799,773,819,791,847,809
863,799,773,818,791,847,807
863,799,773,818,791,847,809
863,798,771,817,790,846,807
863,797,771,817,791,846,807
863,797,771,818,791,846,807
863,798,771,819,791,846,807
863,797,773,819,791,847,807
863,799,771,819,791,847,807
863,797,773,818,791,847,809
863,799,771,818,791,847,807
863,799,773,819,791,846,807
863,799,771,819,791,847,809
863,798,771,819,791,847,807
863,799,773,819,791,847,807
863,799,773,819,791,847,811
863,799,771,817,791,847,807
865,799,774,819,791,849,809
865,799,773,818,791,847,809
863,799,773,819,791,847,807
863,799,775,819,791,849,809
865,799,775,819,791,847,811
865,799,773,819,791,849,807
865,799,773,819,791,848,810
865,799,775,819,791,849,811
863,799,773,819,791,848,809
863,799,773,819,791,847,807
863,799,774,819,791,848,809
863,799,771,819,791,847,807
863,799,773,819,791,848,810
863,799,773,817,791,847,809
863,799,771,818,791,847,807
863,799,771,818,791,847,807
863,799,773,819,791,847,807
863,799,774,819,791,847,807
863,799,775,818,791,847,807
865,799,775,819,793,847,811
867,799,775,820,795,849,810
867,799,775,821,791,849,811
863,799,775,821,795,850,811
865,783,775,821,783,849,812
867,799,775,821,795,851,811
867,801,775,819,794,849,811
867,799,775,820,795,849,811
867,801,775,820,793,849,811
867,801,775,819,795,850,811
867,799,767,821,794,847,811
867,799,775,820,794,849,811
866,799,774,819,793,849,811
863,799,775,819,794,847,811
863,799,773,819,791,849,811
