MIC1,MIC2,MIC3,MIC4,MIC5,MIC6,MIC7
867,801,778,822,797,851,813
867,801,775,823,797,851,813
867,803,777,823,797,851,814
867,801,775,823,795,852,813
867,803,775,822,797,853,814
866,802,779,822,799,851,815
867,803,777,822,797,851,814
867,801,775,822,797,851,814
867,801,775,821,798,851,813
867,803,775,822,797,851,814
867,803,777,823,799,851,813
867,803,777,823,799,851,815
867,803,778,823,799,853,815
867,803,777,823,797,853,815
867,803,777,823,799,851,813
867,803,775,822,799,851,813
867,802,775,821,797,851,814
867,799,775,822,795,850,813
867,801,775,822,795,851,813
867,801,775,822,795,851,813
863,799,775,821,795,851,813
867,802,775,821,795,851,811
867,801,775,821,795,851,811
867,803,775,822,797,851,813
867,801,775,823,795,852,813
867,803,775,821,797,851,813
867,803,775,823,797,851,815
867,801,775,822,799,851,814
867,803,778,823,797,851,815
867,803,778,822,797,851,813
867,803,777,823,799,852,815
867,801,777,822,797,853,813
867,802,775,824,797,851,814
867,801,775,821,797,851,811
866,802,775,821,795,850,811
865,801,775,819,797,851,813
863,799,775,819,795,850,811
866,799,775,821,795,850,813
863,799,775,821,795,850,811
863,799,773,821,795,850,811
863,799,773,821,795,849,811
863,799,775,821,795,849,811
863,799,775,819,795,850,811
867,799,775,819,795,850,811
865,799,775,822,795,850,811
865,799,775,821,795,850,811
867,801,775,821,797,850,811
867,801,775,821,797,851,813
867,799,777,821,797,851,813
867,799,775,822,798,851,813
867,801,777,823,797,852,813
867,803,775,823,798,851,813
867,801,775,822,798,851,815
867,803,777,822,797,851,813
867,803,777,823,798,852,814
867,803,775,822,797,851,813
867,801,775,823,795,851,814
867,801,775,823,798,851,815
867,801,775,823,797,852,813
867,801,775,822,795,851,811
867,803,777,821,797,851,813
867,799,777,821,797,851,813
865,802,775,821,795,851,811
867,801,775,822,797,851,813
865,801,775,821,795,850,813
866,802,775,821,795,851,813
867,801,775,822,797,851,811
867,801,775,824,795,851,813
867,802,775,821,797,851,811
867,801,775,821,797,851,811
867,802,775,821,799,851,811
863,799,775,821,797,851,811
863,799,775,821,795,849,811
867,801,775,821,797,851,813
867,799,775,821,797,851,811
866,801,775,821,795,851,811
867,799,775,821,795,851,811
863,801,775,819,795,850,813
867,799,775,821,795,850,813
867,799,775,821,797,850,813
867,801,775,820,795,850,811
865,799,775,821,795,851,811
866,799,775,821,795,850,811
867,799,775,821,795,851,813
867,799,775,821,795,850,811
865,801,775,821,797,851,811
863,799,775,820,795,851,813
867,801,775,821,797,851,813
865,802,775,822,795,850,813
867,799,775,821,797,851,813
867,801,775,821,798,851,814
867,801,775,821,797,851,814
865,801,775,821,795,851,813
867,801,775,822,798,851,813
865,801,775,822,797,851,815
867,801,775,819,797,851,813
865,799,775,822,795,851,811
867,801,775,821,797,851,813
867,803,777,822,797,851,813
867,801,775,822,798,851,814
867,803,779,821,798,852,815
867,801,779,823,799,852,815
867,801,779,823,799,851,815
867,802,777,823,798,852,815
867,803,775,823,799,853,815
867,803,779,823,799,853,815
867,803,778,823,799,853,815
867,803,779,823,799,853,813
867,802,779,823,799,851,815
867,803,777,823,799,851,815
867,801,777,823,797,851,813
867,801,775,821,797,851,813
867,803,775,823,797,851,815
867,802,775,822,798,851,813
867,802,775,821,797,850,814
867,801,775,821,795,850,813
865,799,775,821,795,849,811
867,799,777,821,797,850,813
866,799,775,822,795,850,811
865,801,775,821,795,850,811
867,802,774,821,795,850,811
866,799,775,821,795,850,811
863,799,775,820,795,849,811
865,799,775,820,795,851,811
863,799,775,820,795,850,811
865,799,775,821,795,851,811
865,801,775,821,795,851,811
867,799,775,821,795,849,813
865,801,775,822,795,850,811
865,801,775,821,795,851,811
866,801,775,821,797,851,813
866,802,775,822,795,851,813
865,801,775,822,797,851,814
867,803,775,823,799,851,815
867,803,777,823,799,851,815
867,803,777,823,798,851,815
867,801,778,821,799,851,815
867,803,779,823,799,853,815
867,802,778,823,799,852,815
867,801,777,823,797,852,815
867,803,779,823,799,851,815
867,803,779,823,799,853,815
865,803,777,823,797,853,815
867,803,779,823,799,853,815
867,803,779,823,799,853,815
867,803,779,823,799,853,815
866,802,778,822,797,852,815
867,803,777,823,799,852,815
867,802,775,823,797,853,813
867,803,777,823,798,851,813
867,801,775,823,797,851,813
