Channel_0,Channel_1,Channel_2,Channel_3
100.391647,101.135353,101.022141,101.180420
100.401398,101.135353,101.022141,101.180420
100.401398,101.135353,101.022217,101.180130
100.401398,101.135353,101.022217,101.180130
100.402039,101.135353,101.022217,101.180130
100.402039,101.135353,101.022217,101.180130
100.407211,101.135353,101.022217,101.180130
100.407211,101.135353,101.022903,101.180000
100.407211,101.135628,101.022903,101.180000
100.408112,101.135628,101.022903,101.180000
100.417435,101.135628,101.022903,101.180000
100.417435,101.135628,101.022903,101.179695
100.417435,101.135628,101.022675,101.179695
100.417435,101.136055,101.022675,101.179695
100.418076,101.136055,101.022675,101.179695
100.377571,101.136055,101.022675,101.179695
100.377571,101.136055,101.022675,101.179398
100.377571,101.136055,101.022621,101.179398
100.378433,101.135788,101.022621,101.179398
100.378433,101.135788,101.022621,101.179398
100.387589,101.135788,101.022621,101.179398
100.387589,101.135788,101.022598,101.179314
100.387589,101.135788,101.022598,101.179314
100.387161,101.135292,101.022598,101.179314
100.387161,101.135292,101.022598,101.179314
100.393188,101.135292,101.022598,101.179314
100.393188,101.135292,101.022774,101.179268
100.392754,101.135292,101.022774,101.179268
100.392754,101.135117,101.022774,101.179268
100.398697,101.135117,101.022774,101.179268
100.398697,101.135117,101.022774,101.178162
100.398697,101.135117,101.022728,101.178162
100.398697,101.135117,101.022728,101.178162
100.398697,101.135551,101.022728,101.178162
100.394241,101.135551,101.022728,101.178162
100.394241,101.135551,101.022728,101.177826
100.394241,101.135551,101.022804,101.177826
100.394241,101.135551,101.022804,101.177826
100.392593,101.135391,101.022804,101.177826
100.397354,101.135391,101.022804,101.177826
100.397354,101.135391,101.023399,101.177490
100.397354,101.135391,101.023399,101.177490
100.397354,101.135391,101.023399,101.177490
100.406876,101.135216,101.023399,101.177490
100.406876,101.135216,101.023399,101.177147
100.406876,101.135216,101.023727,101.177147
100.406876,101.135216,101.023727,101.177147
100.406876,101.135216,101.023727,101.177147
100.398079,101.135056,101.023727,101.177147
100.398079,101.135056,101.023727,101.176559
100.398079,101.135056,101.024162,101.176559
100.398079,101.135056,101.024162,101.176559
100.398079,101.135056,101.024162,101.176559
100.406075,101.135452,101.024162,101.176559
100.406075,101.135452,101.024162,101.176514
100.406075,101.135452,101.024048,101.176514
100.405640,101.135452,101.024048,101.176514
100.405640,101.135452,101.024048,101.176514
100.402237,101.135056,101.024048,101.176765
100.402237,101.135056,101.024048,101.176765
100.402237,101.135056,101.023804,101.176765
100.400620,101.135056,101.023804,101.176765
100.356033,101.135056,101.023804,101.176765
100.356033,101.135216,101.023804,101.176140
100.356033,101.135216,101.023430,101.176140
100.356033,101.135216,101.023430,101.176140
100.356033,101.135216,101.023430,101.176140
100.362167,101.135216,101.023430,101.176140
100.362167,101.134880,101.023430,101.176277
100.362167,101.134880,101.023277,101.176277
100.362167,101.134880,101.023277,101.176277
100.362167,101.134880,101.023277,101.176277
