Channel_0,Channel_1,Channel_2,Channel_3
100.603394,101.093102,101.009842,101.061363
100.603714,101.093102,101.010651,101.061028
100.603394,101.093102,101.010330,101.059875
100.603394,101.093102,101.010330,101.059540
100.603394,101.092766,101.010330,101.060013
100.603394,101.092766,101.010651,101.060013
100.602737,101.092766,101.010651,101.060684
100.603889,101.093277,101.010651,101.060349
100.603889,101.093948,101.010971,101.061501
100.603889,101.093948,101.010971,101.061165
100.604538,101.093613,101.010475,101.061165
100.604210,101.093277,101.010162,101.060829
100.603889,101.093277,101.011276,101.060150
100.603569,101.092941,101.011604,101.059814
100.603569,101.092941,101.011917,101.060150
100.603241,101.092606,101.010971,101.060013
100.604385,101.093109,101.010330,101.059677
100.604073,101.093109,101.010330,101.060013
100.603241,101.092438,101.010010,101.060013
100.603241,101.093109,101.010010,101.059341
100.604385,101.091934,101.010330,101.060829
100.603241,101.091599,101.010330,101.059677
100.603569,101.091599,101.010010,101.060013
100.604073,101.091599,101.010849,101.060829
100.604385,101.091599,101.011162,101.061165
100.605545,101.091599,101.011803,101.061501
100.605042,101.091263,101.012115,101.061165
100.604721,101.091766,101.013245,101.061501
100.604721,101.091263,101.013245,101.061844
100.604721,101.091599,101.012611,101.061501
100.605865,101.091599,101.012924,101.061028
100.606506,101.091934,101.012611,101.060684
100.605545,101.092606,101.011803,101.060684
100.604904,101.092270,101.011490,101.060013
100.604248,101.092606,101.012611,101.060829
100.603928,101.092270,101.012611,101.060013
100.603928,101.092270,101.012611,101.060013
100.603600,101.092270,101.012283,101.060829
100.604248,101.091934,101.012611,101.060829
100.604752,101.091599,101.012283,101.061165
100.605392,101.091934,101.010849,101.061501
100.604248,101.091934,101.010849,101.061844
100.605392,101.091934,101.010529,101.061501
100.605072,101.092270,101.010208,101.061501
100.604248,101.091599,101.010849,101.061844
100.604248,101.091599,101.009888,101.061501
100.605072,101.091934,101.009888,101.061501
100.604568,101.091599,101.009888,101.061844
100.604904,101.091263,101.010208,101.060684
100.606369,101.091263,101.010208,101.060349
100.606369,101.091263,101.010208,101.060349
100.605721,101.091263,101.009567,101.060349
100.605392,101.091934,101.009567,101.060684
100.604431,101.091934,101.009262,101.061363
100.603462,101.091934,101.009262,101.061699
100.603134,101.091599,101.010063,101.061226
100.603462,101.091934,101.011017,101.060555
100.603462,101.091263,101.011642,101.061226
100.603134,101.092438,101.011803,101.059875
100.602814,101.092438,101.013245,101.060684
100.602486,101.091934,101.013245,101.061363
100.602814,101.092438,101.012756,101.060555
100.603134,101.092102,101.012756,101.062035
100.604103,101.092102,101.012756,101.062386
100.604103,101.091766,101.013245,101.062721
100.604103,101.092102,101.013245,101.061905
100.604752,101.091431,101.013245,101.062241
100.604752,101.091431,101.013565,101.061905
100.605545,101.091766,101.013565,101.062386
100.605072,101.092438,101.012756,101.062386
100.604431,101.091766,101.013565,101.062721
100.604103,101.092438,101.013245,101.062721
100.604248,101.092102,101.013245,101.062035
100.603928,101.092102,101.012115,101.060890
100.603287,101.092102,101.012924,101.061699
100.602951,101.092102,101.013245,101.061363
100.602631,101.091766,101.012283,101.061363
100.602631,101.091431,101.011490,101.061699
100.602951,101.091431,101.011803,101.061363
100.603287,101.091431,101.012611,101.061028
100.602951,101.092300,101.012283,101.061028
100.604103,101.092300,101.011971,101.061363
100.602631,101.091095,101.012283,101.061363
100.602951,101.090767,101.012283,101.062035
100.604248,101.091095,101.012283,101.061699
100.605392,101.090431,101.011642,101.061363
100.606049,101.090431,101.011337,101.062386
100.605721,101.089920,101.011337,101.062386
100.604752,101.090767,101.010529,101.061363
100.604431,101.089920,101.011162,101.061028
100.604431,101.089920,101.011490,101.061028
100.605080,101.089584,101.011490,101.061028
100.605080,101.089920,101.012924,101.060684
100.604752,101.090767,101.012611,101.061028
100.604752,101.091095,101.012611,101.060013
100.605392,101.091629,101.012611,101.059341
100.605392,101.091965,101.013245,101.059814
100.604752,101.091965,101.012611,101.060150
100.604752,101.091095,101.012924,101.060486
100.605392,101.091431,101.013245,101.060829
100.606049,101.092438,101.012436,101.060349
100.605080,101.093643,101.011162,101.061501
100.605392,101.093307,101.011162,101.061844
100.605080,101.093811,101.011490,101.060684
100.604752,101.093811,101.011803,101.060684
100.605080,101.092300,101.011490,101.061501
100.605721,101.091965,101.011490,101.061501
100.606049,101.091293,101.011490,101.060349
100.605392,101.090096,101.011162,101.060013
100.605080,101.091293,101.012115,101.060013
100.604752,101.090965,101.011276,101.060349
100.604752,101.090630,101.011490,101.061165
100.605080,101.089958,101.011803,101.061165
100.604103,101.090294,101.011803,101.061501
100.604935,101.090294,101.012115,101.061501
100.605247,101.090797,101.012115,101.061501
100.605247,101.090797,101.012436,101.061844
100.604752,101.091133,101.012436,101.061501
100.605576,101.090630,101.012115,101.061501
100.604431,101.091469,101.011803,101.061501
100.605247,101.090630,101.011490,101.062180
100.605247,101.091469,101.011162,101.061501
100.605247,101.091469,101.011162,101.061501
100.604935,101.091805,101.011162,101.062180
100.604935,101.091469,101.011162,101.061844
100.605247,101.091469,101.010849,101.061501
100.604935,101.092140,101.010529,101.061844
100.604607,101.093643,101.010696,101.061844
