Channel_0,Channel_1,Channel_2,Channel_3
100.066757,100.680656,100.815346,100.610802
100.066757,100.679489,100.814392,100.609993
100.066429,100.679489,100.814713,100.609657
100.066757,100.679489,100.814392,100.609657
100.066757,100.678818,100.814713,100.609322
100.066757,100.679489,100.814392,100.608978
100.066109,100.678482,100.814392,100.609322
100.066109,100.678146,100.814392,100.609993
100.065460,100.678482,100.814392,100.609657
100.065781,100.677475,100.814713,100.609657
100.065292,100.677475,100.815033,100.610329
100.065292,100.677475,100.815346,100.611008
100.066109,100.676804,100.815033,100.611809
100.064957,100.677139,100.815033,100.612160
100.065605,100.677139,100.814713,100.611687
100.065292,100.676468,100.814392,100.611687
100.065781,100.676468,100.814072,100.612160
100.064957,100.675636,100.814072,100.611809
100.064957,100.675636,100.814072,100.612160
100.064957,100.675972,100.814072,100.612022
100.066429,100.675972,100.814392,100.611687
100.066757,100.676308,100.813232,100.611687
100.067078,100.676132,100.814392,100.611687
100.067078,100.676132,100.812920,100.611687
100.067398,100.676468,100.812920,100.611343
100.066574,100.677139,100.812607,100.611008
100.066757,100.677139,100.812607,100.611008
100.065292,100.677475,100.812920,100.610672
100.065292,100.676643,100.813759,100.610329
100.065605,100.675972,100.814072,100.609657
100.065605,100.675636,100.813553,100.609993
100.064957,100.675301,100.813553,100.610329
100.065292,100.676132,100.813759,100.609993
100.065605,100.675797,100.813118,100.609993
100.065933,100.675125,100.813438,100.610329
100.066261,100.674629,100.813438,100.609657
100.065437,100.674629,100.814072,100.610329
100.065437,100.674294,100.813759,100.611008
100.065117,100.675125,100.813118,100.610672
100.064621,100.674797,100.812279,100.611343
100.066086,100.673965,100.812279,100.611008
100.066086,100.673630,100.812607,100.611343
100.065758,100.673965,100.811646,100.611008
100.066406,100.673965,100.811325,100.611687
100.066734,100.674629,100.811325,100.610191
100.066734,100.674965,100.811325,100.609520
100.066086,100.674294,100.811646,100.609520
100.066086,100.674629,100.811012,100.607834
100.066086,100.674629,100.810684,100.607498
100.064934,100.675301,100.810379,100.607834
100.066086,100.674965,100.811523,100.608643
100.065758,100.674629,100.811523,100.607956
100.066086,100.674629,100.810684,100.606819
100.065590,100.674294,100.811844,100.608170
100.066734,100.673965,100.810684,100.609184
100.067375,100.673965,100.809410,100.609520
100.067703,100.674294,100.810379,100.608505
100.065910,100.674629,100.810379,100.608841
100.065910,100.673965,100.811012,100.609184
100.066551,100.674629,100.810684,100.607834
100.067528,100.674294,100.811012,100.607956
100.067528,100.673630,100.810204,100.607285
100.067528,100.673294,100.810204,100.606613
100.067528,100.673965,100.810524,100.605125
100.067856,100.673630,100.810204,100.605125
100.068169,100.672958,100.809570,100.604454
100.068169,100.673965,100.810524,100.605461
100.068169,100.672791,100.814987,100.608978
100.068169,100.673126,100.818169,100.609856
