addr,time,Fx,Fy,Fz,Mx,My,Mz
170,4.323,-0.00465,-0.00359,0.0026,-0.0001,0.00019,0.00001
170,4.324,0.00517,0.00434,-0.00366,-0.00004,-0.00012,0.00012
170,4.325,-0.00776,-0.00163,0.00197,-0.00006,0.00011,0.00008
170,4.326,-0.00613,-0.00231,-0.00159,-0.00016,0.0001,0.00007
170,4.327,-0.00634,0.01167,0.00782,0.00035,0.00007,0.00012
170,4.328,0.00286,0.00737,0.00127,0.00037,-0.00008,-0.00016
170,4.329,-0.00514,0.00115,-0.00083,0.00003,0.00013,-0.00013
170,4.33,-0.00958,-0.00243,0.00077,-0.00001,0.00021,-0.00006
170,4.331,-0.00466,-0.00296,0.00283,-0.0002,0.00006,0.00005
170,4.332,0.00787,-0.00255,-0.00082,-0.00013,-0.00019,0.00013
170,4.333,0.00208,-0.00673,-0.00372,-0.00004,-0.00013,-0.00009
170,4.334,0.00637,0.00023,0.00143,-0.00003,-0.0002,-0.00014
170,4.335,0.00343,-0.00124,0.00054,-0.00013,-0.00011,0.00016
170,4.336,-0.00773,0.00747,0.00063,0.00002,0.00012,-0.00002
170,4.337,-0.00414,0.0017,-0.00306,-0.00012,0.00001,-0.00006
170,4.338,0.01301,0.01712,0.00279,0.00023,-0.00022,-0.00013
170,4.339,-0.00331,0.00082,-0.00258,0.00009,0.00003,0.0003
170,4.34,-0.01718,0.00007,0.00509,-0.00019,0.00037,-0.00003
170,4.341,-0.00631,-0.00083,-0.00337,0.00009,0.00005,-0.00015
170,4.342,-0.00602,0.00925,-0.0004,0.00021,0.00003,-0.00022
170,4.343,-0.00368,0.00531,-0.00394,0.00009,0.00002,0.00007
170,4.344,0.00225,0.0034,0.00097,0.00004,-0.00013,0.0001
170,4.345,-0.00619,0.00613,-0.00388,0.00021,0.00008,0.00012
170,4.346,0.00235,0.00115,0.00584,-0.0001,0.00003,0.0001
170,4.347,-0.00751,-0.0058,0.00055,-0.00003,0.00014,0.00012
170,4.348,-0.01325,0.00043,0.00425,0.00005,0.00021,-0.00009
170,4.349,0.00374,-0.00034,0.00608,-0.00004,0.00001,-0.00003
170,4.35,-0.00262,0.00857,0.00117,0.00013,0.00011,-0.00004
170,4.351,-0.00095,0.00931,0.0002,0.00028,-0.00008,0
170,4.352,0.0068,-0.0006,-0.00443,-0.00002,-0.00001,0.00003
170,4.353,-0.0022,-0.00012,-0.00422,0.0001,0.00012,0.00004
170,4.354,-0.0157,-0.00192,0.0026,-0.00001,0.00018,0.00014
170,4.355,-0.01255,0.00653,0.00249,0.00012,0.00019,0.00008
170,4.356,-0.00373,0.00748,-0.00364,0.00015,0.00007,0.00006
170,4.357,-0.00398,0.00968,-0.00012,0.0001,0.00006,0.00011
170,4.358,-0.01127,0.00532,0.00405,0.00014,0.00014,0
170,4.359,-0.01298,0.00558,0.00209,0.00014,0.00022,-0.00005
170,4.36,-0.00905,-0.00069,-0.00147,-0.00001,0.00023,-0.00002
170,4.361,-0.00146,0.00063,-0.0009,-0.00005,0.00016,-0.00006
170,4.362,-0.00041,-0.00493,0.00659,-0.00008,-0.00002,-0.00001
170,4.363,0.00044,0.00528,-0.00006,0.00004,0.00005,0.00008
170,4.364,0.01004,0.00607,0.0024,0.00004,-0.00015,0.0002
170,4.365,-0.00392,0.00313,0.00092,0.00007,-0.00003,0.00011
170,4.366,0.00183,-0.00154,-0.0054,-0.00001,-0.00006,0.00004
170,4.367,-0.00627,0.0039,0.00922,0.00014,0.00012,0.00004
170,4.368,-0.01506,-0.00185,0.00381,0.00004,0.0003,-0.00005
170,4.369,-0.00672,-0.0037,-0.00933,-0.00004,0.00008,-0.00007
170,4.37,0.00644,0.00091,0.00127,0.00014,-0.00012,-0.00007
170,4.371,0.00303,0.00664,-0.01072,0.00014,-0.00011,-0.00002
170,4.372,0.00007,0.00698,0.00275,0.00014,0,0.00023
170,4.373,0.00071,0.00497,-0.00399,0.00008,0.00004,-0.00003
170,4.374,0.00903,0.00546,0.0013,0.00006,-0.00008,0
170,4.375,-0.00293,0.00276,0.00254,0.00014,-0.00003,-0.00007
170,4.376,-0.01453,0.00176,0.00347,0.00005,0.00022,0.00001
