Fx,Fy,Fz,group6_p1,group6_p2,group6_p3,group6_p4
-0.00465,-0.00359,-0.0026,434,397,402,407
0.00517,0.00434,0.00366,434,398,401,407
-0.00776,-0.00163,-0.00197,434,396,401,408
-0.00613,-0.00231,0.00159,434,398,401,407
-0.00634,0.01167,-0.00782,433,397,401,407
0.00286,0.00737,-0.00127,433,398,400,407
-0.00514,0.00115,0.00083,433,397,401,407
-0.00958,-0.00243,-0.00077,433,398,400,407
-0.00466,-0.00296,-0.00283,433,398,400,407
0.00787,-0.00255,0.00082,434,397,400,407
0.00208,-0.00673,0.00372,434,397,400,407
0.00637,0.00023,-0.00143,434,398,401,407
0.00343,-0.00124,-0.00054,433,397,400,407
-0.00773,0.00747,-0.00063,433,397,401,408
-0.00414,0.0017,0.00306,433,397,402,408
0.01301,0.01712,-0.00279,433,398,401,406
-0.00331,0.00082,0.00258,433,397,401,407
-0.01718,7e-05,-0.00509,433,397,401,407
-0.00631,-0.00083,0.00337,434,398,401,407
-0.00602,0.00925,0.0004,433,397,400,407
-0.00368,0.00531,0.00394,434,398,401,407
0.00225,0.0034,-0.00097,435,396,401,407
-0.00619,0.00613,0.00388,434,397,401,407
0.00235,0.00115,-0.00584,433,397,401,406
-0.00751,-0.0058,-0.00055,433,397,401,407
-0.01325,0.00043,-0.00425,433,397,400,406
0.00374,-0.00034,-0.00608,434,397,400,407
-0.00262,0.00857,-0.00117,433,396,400,407
-0.00095,0.00931,-0.0002,434,397,402,407
0.0068,-0.0006,0.00443,433,399,401,407
-0.0022,-0.00012,0.00422,433,398,401,407
-0.0157,-0.00192,-0.0026,433,397,401,407
-0.01255,0.00653,-0.00249,434,397,401,408
-0.00373,0.00748,0.00364,434,398,401,406
-0.00398,0.00968,0.00012,433,397,401,407
-0.01127,0.00532,-0.00405,432,398,400,407
-0.01298,0.00558,-0.00209,434,397,401,406
-0.00905,-0.00069,0.00147,433,397,401,407
-0.00146,0.00063,0.0009,434,398,401,407
-0.00041,-0.00493,-0.00659,434,399,401,407
0.00044,0.00528,6e-05,434,397,402,407
0.01004,0.00607,-0.0024,433,398,400,407
-0.00392,0.00313,-0.00092,433,398,399,407
0.00183,-0.00154,0.0054,432,397,400,407
-0.00627,0.0039,-0.00922,433,398,400,406
-0.01506,-0.00185,-0.00381,434,399,401,407
-0.00672,-0.0037,0.00933,434,397,401,407
0.00644,0.00091,-0.00127,433,398,401,407
0.00303,0.00664,0.01072,433,397,401,407
7e-05,0.00698,-0.00275,433,397,400,407
0.00071,0.00497,0.00399,434,397,401,407
0.00903,0.00546,-0.0013,434,397,400,407
-0.00293,0.00276,-0.00254,435,397,400,406
-0.01453,0.00176,-0.00347,433,398,401,407
0.00163,0.008,-4e-05,434,397,401,406
0.00069,0.00352,-0.00078,434,397,400,407
-0.00019,0.01069,0.00161,433,397,402,406
0.00265,0.01068,-0.0081,433,396,400,407
-0.00926,-0.00239,0.00204,433,397,400,407
-0.0013,-0.0033,-0.00663,433,397,400,408
-0.00717,0.00569,0.00266,433,397,401,406
-0.00572,0.00918,-0.00032,432,397,401,408
-0.00419,0.00286,0.00078,433,398,401,408
-0.00096,0.00015,0.00144,434,397,400,407
-0.00101,0.002,-0.00456,434,398,400,407
-0.00029,-0.00362,-0.00343,433,397,400,406
0.00203,-0.00751,0.00395,435,397,401,407
-0.00201,-0.00972,0.00105,434,397,400,407
-0.00099,-0.01024,0.00023,433,397,400,406
-0.00093,-0.00313,-0.00664,434,398,401,407
0.00939,0.00107,-0.0024,434,399,401,407
0.0028,-0.00571,0.00182,434,398,402,407
