Timestamp(ns),Fx,Fy,Fz,Mx,My,Mz,与前一帧相差ns,与前一帧相差us
68173700,0.558265567,0.348266423,-0.832253635,0.009826144,0.005371376,0.02892727,,
69198500,0.54940927,0.349247813,-0.83222121,0.009876939,0.005693721,0.028996466,1024800,1024.8
70190300,0.537252128,0.343711287,-0.835747063,0.009731531,0.00578932,0.028868847,991800,991.8
71136600,0.543079138,0.349572688,-0.833863795,0.009889318,0.005654001,0.028800705,946300,946.3
72146300,0.537520409,0.345257074,-0.828119695,0.009853635,0.00581905,0.028984636,1009700,1009.7
73121600,0.542436182,0.344572425,-0.832752645,0.009776052,0.00568074,0.028925955,975300,975.3
74142300,0.546628892,0.333537549,-0.830887318,0.009647593,0.00555959,0.028885346,1020700,1020.7
75204700,0.540974259,0.333082139,-0.829084873,0.009589427,0.005539951,0.028736802,1062400,1062.4
76104800,0.54271704,0.339176983,-0.832307875,0.009612294,0.005619338,0.028900383,900100,900.1
77112200,0.544789255,0.352574736,-0.82790643,0.009952157,0.005633797,0.029006807,1007400,1007.4
78137100,0.548146963,0.349722087,-0.834382892,0.009908023,0.005574902,0.028978828,1024900,1024.9
79083500,0.546998441,0.342494279,-0.832481265,0.009653107,0.005524503,0.028939664,946400,946.4
80096500,0.546538651,0.343021929,-0.835468292,0.00975375,0.005571431,0.028795425,1013000,1013
81171100,0.540121555,0.355577379,-0.833662093,0.009975879,0.005623273,0.028914593,1074600,1074.6
82064300,0.538773715,0.342721373,-0.830256343,0.009728321,0.005746095,0.02891898,893200,893.2
83086200,0.545754731,0.357182443,-0.832395792,0.01002987,0.005607342,0.028868742,1021900,1021.9
84116600,0.534103096,0.356384397,-0.834079623,0.009928575,0.00586012,0.028943835,1030400,1030.4
85104000,0.546479583,0.346504033,-0.828546286,0.009719812,0.005609278,0.028751453,987400,987.4
86109200,0.542093217,0.34386763,-0.834415793,0.009620002,0.005567451,0.028860992,1005200,1005.2
87067000,0.546483338,0.349101007,-0.836024106,0.00985911,0.00548178,0.028835453,957800,957.8
88147400,0.542418301,0.351568133,-0.832750022,0.009891952,0.005615972,0.028892292,1080400,1080.4
89102300,0.533897936,0.350354522,-0.829328299,0.009858717,0.005775501,0.02894355,954900,954.9
90030100,0.537089825,0.345687002,-0.832106411,0.009686471,0.005670215,0.028888863,927800,927.8
91033200,0.534225941,0.342862457,-0.830227077,0.009582761,0.005773509,0.028930848,1003100,1003.1
92061300,0.544086337,0.347434551,-0.832026243,0.009792934,0.00560881,0.028920626,1028100,1028.1
93032100,0.548326194,0.341580391,-0.826303124,0.009683465,0.005528053,0.028795904,970800,970.8
94036500,0.534352839,0.347602785,-0.835356832,0.009863314,0.005763022,0.02884711,1004400,1004.4
95152000,0.547127128,0.340070218,-0.836403191,0.009616523,0.005573726,0.028807152,1115500,1115.5
96137400,0.55118221,0.337775916,-0.833824515,0.009673603,0.005543558,0.029025432,985400,985.4
97054500,0.542490184,0.340826511,-0.833702445,0.009694709,0.005699311,0.028843787,917100,917.1
98030200,0.548021793,0.341635585,-0.835232198,0.009731963,0.005588229,0.029027628,975700,975.7
99029100,0.537427068,0.341275692,-0.838732839,0.009683183,0.005850641,0.028894722,998900,998.9
100029200,0.54705292,0.340600401,-0.833947599,0.009731359,0.005639566,0.028932404,1000100,1000.1
101009000,0.537799001,0.355969012,-0.831669927,0.010020528,0.005641227,0.028771531,979800,979.8
102025100,0.541780949,0.34816879,-0.83151859,0.009759245,0.005634663,0.02888689,1016100,1016.1
103116400,0.541998625,0.343571365,-0.832953751,0.009747185,0.005691195,0.02882809,1091300,1091.3
104034300,0.552897632,0.347432256,-0.83339268,0.00983021,0.005462369,0.02902055,917900,917.9
105034600,0.539083779,0.35265097,-0.832607329,0.009862107,0.00574794,0.028889908,1000300,1000.3
106036100,0.543076277,0.349977195,-0.836209059,0.009738137,0.005589521,0.02883001,1001500,1001.5
107195800,0.543694139,0.357838482,-0.83270973,0.009990047,0.005718122,0.028968824,1159700,1159.7
108126400,0.541723549,0.351744771,-0.83251965,0.009952572,0.005679386,0.028974563,930600,930.6
109105700,0.547093928,0.342883378,-0.830685973,0.009679117,0.005610576,0.028788783,979300,979.3
110032700,0.545982957,0.341182828,-0.830959976,0.009628219,0.005629657,0.028874967,927000,927
111069100,0.555710852,0.343252778,-0.834327996,0.009768598,0.005434562,0.028852463,1036400,1036.4
112069500,0.552363217,0.332096845,-0.8362903,0.009505472,0.005468421,0.028833952,1000400,1000.4
112985300,0.55084312,0.343443274,-0.83278507,0.009653806,0.005516545,0.028723326,915800,915.8
114009500,0.552773416,0.355067104,-0.832839429,0.009937488,0.005427985,0.028840277,1024200,1024.2
115044700,0.551981628,0.353298187,-0.834271491,0.009905302,0.005354539,0.02876793,1035200,1035.2
116124700,0.541982591,0.34868896,-0.83888787,0.009849785,0.00551479,0.02893373,1080000,1080
117010800,0.539690614,0.346349001,-0.83286041,0.009876407,0.005659695,0.029046897,886100,886.1
118081600,0.539007962,0.344287902,-0.838499725,0.009671013,0.00566917,0.029004091,1070800,1070.8
119034300,0.551558852,0.339302987,-0.830660164,0.009672316,0.005598046,0.028991532,952700,952.7
120154100,0.549364448,0.32767731,-0.835675657,0.009526949,0.005662028,0.028935025,1119800,1119.8
121134000,0.551033854,0.341944456,-0.83638376,0.009738489,0.005582919,0.028992165,979900,979.9
122058100,0.551646233,0.350107998,-0.834384024,0.00981569,0.005664043,0.02897927,924100,924.1
123041500,0.540616214,0.35419026,-0.83369559,0.009984886,0.005669998,0.029023184,983400,983.4
123988700,0.551423907,0.351261407,-0.833989382,0.009901304,0.005508889,0.028879974,947200,947.2
125115400,0.551144004,0.354248792,-0.837321937,0.00995501,0.005566631,0.028811369,1126700,1126.7
125967600,0.553480744,0.351872444,-0.833550036,0.009916977,0.005495324,0.028856324,852200,852.2
126980200,0.534523606,0.33829695,-0.836461782,0.009567773,0.005896111,0.028862365,1012600,1012.6
128017700,0.537391186,0.354135066,-0.829340518,0.009931467,0.005738805,0.028895648,1037500,1037.5
129023400,0.540265858,0.347860128,-0.83654654,0.009807964,0.005764142,0.028768156,1005700,1005.7
129985800,0.554885685,0.341105461,-0.836496413,0.009702959,0.005457462,0.028823949,962400,962.4
130982300,0.553420424,0.338717699,-0.834461272,0.009669675,0.005437323,0.02873739,996500,996.5
132029800,0.544932604,0.339785516,-0.82932961,0.009670923,0.005541606,0.028984403,1047500,1047.5
133001000,0.53292352,0.342337161,-0.83102411,0.009746722,0.00581805,0.028904678,971200,971.2
134106500,0.544620574,0.349307895,-0.834083974,0.009821968,0.005687184,0.028930521,1105500,1105.5
134993600,0.555679083,0.343046725,-0.83215946,0.009753818,0.005541916,0.028976031,887100,887.1
135985300,0.558398366,0.350578666,-0.83190918,0.009908071,0.005487298,0.028952457,991700,991.7
136986500,0.544596076,0.33601138,-0.833267033,0.009559225,0.005590595,0.029026119,1001200,1001.2
137980900,0.55328697,0.338676691,-0.838829815,0.00975293,0.005454174,0.029040243,994400,994.4
138995800,0.543727517,0.348249972,-0.838460743,0.009784864,0.005642824,0.028979313,1014900,1014.9
140020000,0.548639476,0.342155606,-0.831439257,0.009710886,0.005635236,0.02890688,1024200,1024.2
141001100,0.534811139,0.349152386,-0.838946164,0.009958845,0.0058022,0.0289216,981100,981.1
141982200,0.552961767,0.347944766,-0.83842963,0.009815648,0.005506156,0.029028738,981100,981.1
142975100,0.546117365,0.346432269,-0.832663417,0.009779932,0.005572095,0.029035615,992900,992.9
144024600,0.533286095,0.353271306,-0.828182995,0.009952951,0.005741463,0.028995758,1049500,1049.5
144924900,0.539053679,0.350371093,-0.836283326,0.009800429,0.00563426,0.028898794,900300,900.3
145900800,0.548522174,0.348296463,-0.836404741,0.009852251,0.005545828,0.028870828,975900,975.9
146939800,0.552014291,0.353013873,-0.831364155,0.009911636,0.005528553,0.029124374,1039000,1039
147938100,0.538045585,0.352942795,-0.831240535,0.009939336,0.005660121,0.028934442,998300,998.3
148907900,0.546896398,0.348679215,-0.830361426,0.009847804,0.005569607,0.029016584,969800,969.8
150071500,0.548110008,0.354202479,-0.83056891,0.009830241,0.00566979,0.028950952,1163600,1163.6
150917200,0.549485385,0.35054183,-0.835135221,0.009900274,0.005641865,0.028867982,845700,845.7
151966900,0.553279877,0.353747278,-0.831769824,0.00995163,0.005456008,0.028852476,1049700,1049.7
152952100,0.558493018,0.349647075,-0.82867974,0.00979004,0.005366215,0.028955108,985200,985.2
153908400,0.549567342,0.356537312,-0.831776381,0.00986011,0.005539705,0.028816955,956300,956.3
154910900,0.54551965,0.349558145,-0.836479366,0.009831963,0.005644562,0.029010493,1002500,1002.5
155939100,0.542708874,0.345125705,-0.83262521,0.009838973,0.005836195,0.029107142,1028200,1028.2
156968900,0.54088068,0.343890309,-0.834484518,0.009646937,0.005695408,0.028981356,1029800,1029.8
157936600,0.545500934,0.347885072,-0.832446158,0.009825264,0.005625728,0.029058537,967700,967.7
158942800,0.54058969,0.345728844,-0.835137784,0.009792588,0.005706972,0.028976373,1006200,1006.2
159937300,0.539038122,0.349325508,-0.834795296,0.009773796,0.005725156,0.028907171,994500,994.5
160960400,0.541741788,0.347012848,-0.834530711,0.009806629,0.005750169,0.028917797,1023100,1023.1
161924900,0.53845799,0.343910336,-0.83722955,0.009830514,0.005747848,0.0289298,964500,964.5
162983600,0.548790455,0.344618708,-0.835099339,0.009748988,0.005545248,0.029002208,1058700,1058.7
163973800,0.550291717,0.350921899,-0.833785236,0.009814095,0.005493692,0.028927743,990200,990.2
164937900,0.538845003,0.345268488,-0.833765447,0.009789992,0.005760365,0.028872879,964100,964.1
165865400,0.546429217,0.344800144,-0.83702755,0.009808329,0.005573494,0.028825026,927500,927.5
166975300,0.553171873,0.352969646,-0.833880544,0.009922365,0.005422811,0.028868239,1109900,1109.9
167918500,0.550260901,0.34281975,-0.833112359,0.009704634,0.005520527,0.028827367,943200,943.2
168903100,0.549796343,0.344042957,-0.835724056,0.009648358,0.005533817,0.0288978,984600,984.6
169920700,0.54775387,0.341895014,-0.836651266,0.009631749,0.005616379,0.028917031,1017600,1017.6
170972700,0.54411453,0.353987455,-0.834180832,0.009903232,0.005660452,0.028812088,1052000,1052
171930500,0.546637356,0.34325105,-0.835559607,0.009727602,0.005608318,0.028903056,957800,957.8
172928000,0.550565541,0.350835741,-0.831489027,0.009930421,0.005576035,0.028917275,997500,997.5
173975500,0.555564821,0.35235101,-0.830268383,0.009873591,0.005324315,0.02883945,1047500,1047.5
174886400,0.541589081,0.3427203,-0.832458615,0.009724907,0.005738751,0.028966848,910900,910.9
175925500,0.543949962,0.344980001,-0.830569088,0.009705481,0.005598897,0.029181756,1039100,1039.1
176962300,0.545175552,0.352445811,-0.831529558,0.009839861,0.005612918,0.028910611,1036800,1036.8
177910200,0.538321912,0.355253488,-0.834766924,0.009909359,0.005814095,0.028935988,947900,947.9
178858600,0.541019619,0.34877032,-0.835940957,0.009860523,0.005655004,0.028828455,948400,948.4
179884000,0.543216765,0.345090866,-0.834920466,0.009756554,0.005543072,0.028730506,1025400,1025.4
180868600,0.550696492,0.342481017,-0.832820714,0.009818149,0.005551951,0.028908562,984600,984.6
181888000,0.561098099,0.351758868,-0.832947671,0.00985629,0.00528562,0.028739402,1019400,1019.4
182923100,0.547876358,0.35090673,-0.831399977,0.009725158,0.005515134,0.028766472,1035100,1035.1
183880000,0.541910291,0.358602852,-0.835197449,0.00998694,0.005746223,0.028941695,956900,956.9
184904700,0.539334059,0.344022155,-0.834957957,0.009789963,0.005758612,0.028907223,1024700,1024.7
185943300,0.543449104,0.344836265,-0.836961091,0.009783641,0.005633852,0.028790267,1038600,1038.6
186910800,0.545296788,0.340279222,-0.834641039,0.009677204,0.005620828,0.028786143,967500,967.5
187910300,0.538753569,0.343331635,-0.833274424,0.009727115,0.005620921,0.028946519,999500,999.5
188870100,0.545839071,0.344562501,-0.832855225,0.009716872,0.005555487,0.028895091,959800,959.8
189869400,0.549536765,0.343713641,-0.838335931,0.009694387,0.005551256,0.028919946,999300,999.3
190808100,0.545910954,0.340545774,-0.838259518,0.009773994,0.005637789,0.028897472,938700,938.7
191809200,0.557226717,0.345160127,-0.834126413,0.009862472,0.005354354,0.028869243,1001100,1001.1
192871100,0.542468846,0.342570692,-0.82877183,0.009799154,0.005664594,0.028938787,1061900,1061.9
193801800,0.547599733,0.345769882,-0.829934001,0.009883413,0.00548135,0.029012393,930700,930.7
194804800,0.55027914,0.356953651,-0.834831655,0.010062482,0.005457526,0.029058708,1003000,1003
195788800,0.545538306,0.360613048,-0.833755076,0.010062193,0.005591962,0.029010678,984000,984
196849300,0.544947147,0.339886904,-0.830742478,0.009724347,0.005560004,0.028952664,1060500,1060.5
197802600,0.556142807,0.342988372,-0.827780664,0.009820698,0.005353873,0.028889118,953300,953.3
198838400,0.544381082,0.338755667,-0.833916605,0.00976699,0.005526558,0.028991956,1035800,1035.8
199800000,0.543823361,0.348369539,-0.833150089,0.009861484,0.00558663,0.028873848,961600,961.6
200864500,0.539805472,0.35027802,-0.829075098,0.009888081,0.005698794,0.028686965,1064500,1064.5
201886400,0.544509411,0.342657834,-0.830384374,0.009828989,0.005770721,0.028922647,1021900,1021.9
202905800,0.548856318,0.339962184,-0.832840919,0.009745021,0.005599903,0.028723657,1019400,1019.4
203875200,0.541476488,0.343463123,-0.835104525,0.009778989,0.005550655,0.028799636,969400,969.4
204785900,0.539283037,0.355341375,-0.836780608,0.009915342,0.005702067,0.028837631,910700,910.7
205764400,0.548950613,0.343057364,-0.832387388,0.009727334,0.005510147,0.028882325,978500,978.5
206813100,0.536477268,0.341397792,-0.833355725,0.009742776,0.005753445,0.02889592,1048700,1048.7
207839700,0.539106488,0.335251689,-0.83344841,0.009724251,0.005768687,0.028887477,1026600,1026.6
208819500,0.55208075,0.338993758,-0.837362528,0.009702511,0.005507808,0.028928844,979800,979.8
209763300,0.548311234,0.34009859,-0.836483538,0.009707798,0.005564596,0.028918548,943800,943.8
210804800,0.534146845,0.331950486,-0.830058455,0.009558068,0.005850339,0.029017074,1041500,1041.5
211788000,0.548372328,0.341919333,-0.835274458,0.009664866,0.005562738,0.029006451,983200,983.2
212883700,0.546276569,0.33940348,-0.840710163,0.009733562,0.005595584,0.028840363,1095700,1095.7
213870500,0.548635542,0.342217773,-0.835722446,0.009718612,0.005565094,0.028934261,986800,986.8
214820600,0.547381997,0.340310007,-0.837662101,0.009563953,0.005686108,0.028967477,950100,950.1
215811100,0.544492185,0.355695724,-0.834604383,0.009996003,0.005650928,0.029011151,990500,990.5
216797000,0.544213295,0.348272711,-0.832948029,0.009868781,0.005600759,0.028952042,985900,985.9
217793200,0.541384161,0.346220791,-0.83795172,0.009747279,0.005655505,0.028774967,996200,996.2
218781100,0.541819096,0.342766672,-0.831112444,0.009737385,0.005615276,0.028691454,987900,987.9
219767700,0.552312493,0.352057576,-0.833558261,0.009789474,0.005495665,0.028790856,986600,986.6
220842700,0.541906893,0.358945936,-0.832532763,0.009857371,0.005684642,0.028852429,1075000,1075
221808100,0.537864447,0.344143182,-0.833955228,0.009735082,0.005809492,0.028938096,965400,965.4
223090500,0.539911449,0.337336034,-0.835656762,0.009681861,0.005717346,0.028986678,1282400,1282.4
223796500,0.532289863,0.344232202,-0.832485914,0.009759489,0.005941692,0.028772259,706000,706
224851700,0.54338187,0.341225654,-0.832128823,0.009747352,0.005599138,0.028898334,1055200,1055.2
225790100,0.538770676,0.345944434,-0.831063926,0.009733872,0.005825181,0.028967086,938400,938.4
226753300,0.547803819,0.342895716,-0.834396422,0.009760472,0.005600376,0.028865309,963200,963.2
227781800,0.549476743,0.349415898,-0.835291982,0.00991259,0.005557777,0.028957536,1028500,1028.5
229732800,0.549212575,0.3456828,-0.831352234,0.009781121,0.005564743,0.028915199,1951000,1951
230841500,0.552589297,0.342451781,-0.833987355,0.009700743,0.005513586,0.02905488,1108700,1108.7
231812700,0.540685356,0.353120387,-0.831344783,0.009876939,0.005760657,0.028934892,971200,971.2
231826500,0.543802857,0.361026555,-0.825704932,0.010089572,0.005556079,0.028882632,13800,13.8
232914800,0.538987756,0.347587198,-0.834216774,0.009843336,0.005707948,0.028797541,1088300,1088.3
233793400,0.538304627,0.345199764,-0.834264457,0.009676116,0.005728418,0.029048864,878600,878.6
234788600,0.540537536,0.349502683,-0.83313787,0.009854016,0.005662882,0.028901324,995200,995.2
235810000,0.551682472,0.353489876,-0.835914254,0.009900593,0.005444344,0.028949497,1021400,1021.4
237703400,0.546481729,0.341521233,-0.834324777,0.009681669,0.005605923,0.029001931,1893400,1893.4
238765400,0.544934392,0.354217649,-0.835300028,0.009912635,0.005568542,0.02896532,1062000,1062
239729700,0.555138588,0.354743183,-0.832577109,0.009927968,0.005496496,0.029017003,964300,964.3
240728700,0.547422647,0.34602657,-0.833976686,0.009808583,0.005596266,0.028948871,999000,999
241819300,0.550700605,0.347659022,-0.836369574,0.009786463,0.005429112,0.028803732,1090600,1090.6
242837900,0.535724223,0.34771055,-0.834255636,0.00979556,0.005805805,0.028764823,1018600,1018.6
243852500,0.527175486,0.337217689,-0.83408016,0.009686367,0.005968556,0.028975515,1014600,1014.6
244766800,0.535274267,0.342869103,-0.834522426,0.009756549,0.005701244,0.02888288,914300,914.3
245849500,0.54707855,0.337564081,-0.829971969,0.009559664,0.005458833,0.028860435,1082700,1082.7
246778600,0.537374854,0.341817528,-0.833390296,0.009672818,0.00574426,0.02895138,929100,929.1
247785100,0.5467273,0.34451744,-0.829562008,0.0097705,0.005520071,0.028875485,1006500,1006.5
248710100,0.536272585,0.343172103,-0.831199944,0.009713401,0.005784309,0.028894754,925000,925
249794000,0.535859585,0.338977009,-0.831937253,0.009651876,0.005708104,0.028799376,1083900,1083.9
250726000,0.540317655,0.345022947,-0.83423537,0.009759897,0.005698555,0.028789856,932000,932
251780700,0.538998783,0.338117331,-0.834329069,0.009624023,0.00568949,0.028785018,1054700,1054.7
252885800,0.543296874,0.344104767,-0.839961946,0.009796043,0.00559753,0.028657414,1105100,1105.1
253683900,0.540293038,0.34785676,-0.835010886,0.009859844,0.00580289,0.028769752,798100,798.1
254758700,0.544443369,0.351349115,-0.832209408,0.009794136,0.005719668,0.029017745,1074800,1074.8
255742700,0.539640784,0.351046115,-0.8300879,0.00988918,0.005741877,0.028830331,984000,984
256847900,0.536252975,0.344068736,-0.83409977,0.009777098,0.005759845,0.028926913,1105200,1105.2
257783800,0.545371532,0.343035966,-0.834528327,0.009818308,0.00566645,0.028820928,935900,935.9
258760500,0.554485977,0.355946451,-0.834140122,0.009920808,0.005439568,0.028872287,976700,976.7
259829400,0.554378092,0.352329701,-0.83498323,0.009834386,0.005474714,0.028911244,1068900,1068.9
260782700,0.547209203,0.345713317,-0.835784674,0.009820833,0.005611154,0.028809562,953300,953.3
261778300,0.54762584,0.3463386,-0.833529055,0.009820718,0.005689581,0.02884136,995600,995.6
262903700,0.548069477,0.349095166,-0.835793257,0.009871817,0.005503325,0.02873173,1125400,1125.4
263743900,0.544191897,0.349441379,-0.838301182,0.009841136,0.005606983,0.028717259,840200,840.2
264793200,0.542706192,0.338310808,-0.832662046,0.009695531,0.005654322,0.028818343,1049300,1049.3
265732500,0.549504161,0.348245531,-0.832528234,0.009817591,0.005504447,0.028828694,939300,939.3
266798900,0.551125467,0.343103707,-0.837178886,0.00971108,0.00561799,0.028927578,1066400,1066.4
267787900,0.5405882,0.339901268,-0.836346745,0.009623469,0.005726201,0.028989604,989000,989
268789200,0.547102392,0.338181287,-0.834834397,0.009562138,0.005535219,0.028788956,1001300,1001.3
269797000,0.552516282,0.345019996,-0.83640182,0.009744047,0.005504675,0.028829817,1007800,1007.8
270789200,0.544499576,0.346119314,-0.835112691,0.009793082,0.005604969,0.028874082,992200,992.2
271781300,0.551698565,0.344247192,-0.836288512,0.009789504,0.005423828,0.028827829,992100,992.1
272832100,0.550121307,0.34680286,-0.832118273,0.009797178,0.005459912,0.028824855,1050800,1050.8
273829400,0.546169758,0.354706317,-0.832218528,0.010021923,0.005579679,0.028921172,997300,997.3
274793700,0.541763008,0.350778967,-0.839131653,0.009933908,0.005675959,0.028973747,964300,964.3
275788600,0.538227201,0.340553313,-0.831118584,0.009679096,0.005774469,0.028906537,994900,994.9
276788600,0.541493714,0.342085451,-0.832564831,0.009809089,0.005723507,0.028864948,1000000,1000
277793900,0.536571503,0.347715944,-0.837543011,0.009831922,0.005758727,0.029047839,1005300,1005.3
278791400,0.53484273,0.345250487,-0.835028052,0.009755721,0.005747818,0.028936172,997500,997.5
279774300,0.540265381,0.349675685,-0.831052899,0.009892478,0.005859199,0.028949877,982900,982.9
280717000,0.551554024,0.35337925,-0.832494795,0.009922411,0.005481802,0.028929157,942700,942.7
281762900,0.54154855,0.344640255,-0.834080458,0.009815922,0.005754071,0.028924327,1045900,1045.9
282874800,0.548352122,0.340520918,-0.829354525,0.009747296,0.00549009,0.029029373,1111900,1111.9
283626500,0.548862517,0.33417204,-0.832730532,0.009531011,0.005572603,0.028755603,751700,751.7
