Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30,Channel_31,Channel_32,Channel_33,Channel_34,Channel_35,Channel_36,Channel_37,Channel_38,Channel_39,Channel_40,Channel_41,Channel_42,Channel_43,Channel_44,Channel_45,Channel_46,Channel_47,Channel_48,Channel_49,Channel_50,Channel_51,Channel_52,Channel_53,Channel_54,Channel_55,Channel_56,Channel_57,Channel_58,Channel_59,Channel_60,Channel_61,Channel_62,Channel_63
100.826347,100.919731,100.633881,101.033173,100.882835,101.098267,101.015518,100.875282,101.227882,101.072998,100.784576,100.981941,100.819321,100.849197,100.705238,101.184341,101.133163,101.199417,100.816216,101.131302,101.101868,101.122986,101.238121,100.831978,101.086243,101.172592,101.220291,101.096031,100.965714,101.164093,101.127739,101.213585,101.136368,101.181503,101.166794,101.245468,101.284019,101.326393,101.202194,101.252640,101.149048,101.237907,101.285751,101.410072,101.337784,101.289978,101.288666,101.447830,101.034019,101.193001,101.367493,101.266525,101.158531,101.319412,101.259422,101.321091,101.101875,101.275085,101.317047,101.175522,101.332954,101.295250,101.364143,101.358994
100.826347,100.919731,100.633209,101.032829,100.883492,101.098595,101.014862,100.874947,101.227547,101.072319,100.784576,100.981941,100.818985,100.849197,100.706451,101.184982,101.132843,101.200218,100.815895,101.131638,101.101204,101.122986,101.238007,100.831642,101.084930,101.172928,101.219971,101.096031,100.965393,101.162582,101.127739,101.214066,101.136032,101.182335,101.167130,101.244644,101.283218,101.326729,101.201859,101.251175,101.148720,101.237411,101.285751,101.410072,101.337784,101.289482,101.289009,101.448502,101.034019,101.192665,101.367821,101.267212,101.157700,101.319748,101.259422,101.320274,101.101547,101.274757,101.316711,101.175522,101.332954,101.294571,101.364143,101.358665
100.825691,100.920067,100.632050,101.032829,100.882317,101.098923,101.014862,100.874947,101.227547,101.070847,100.784576,100.981941,100.818985,100.849197,100.706779,101.184151,101.132843,101.200218,100.816216,101.131302,101.100540,101.122986,101.238678,100.831978,101.084930,101.172592,101.219620,101.095360,100.964218,101.162773,101.128075,101.213730,101.135353,101.183487,101.167130,101.245316,101.283562,101.327225,101.202194,101.252312,101.147881,101.237076,101.285416,101.409378,101.337448,101.289482,101.288666,101.448166,101.033676,101.192001,101.369019,101.266861,101.157051,101.319748,101.259087,101.319603,101.101212,101.275749,101.316246,101.176193,101.333290,101.296410,101.364609,101.358322
100.825020,100.920403,100.633881,101.032494,100.883492,101.098923,101.014183,100.875748,101.227547,101.070503,100.783768,100.981941,100.820145,100.849533,100.706779,101.183823,101.132500,101.200218,100.816711,101.130974,101.101318,101.123665,101.238678,100.832314,101.084602,101.172264,101.218948,101.095688,100.964539,101.163429,101.127739,101.213394,101.133812,101.182999,101.167130,101.244148,101.283218,101.326729,101.201859,101.251511,101.147881,101.236740,101.284744,101.408707,101.337448,101.289482,101.288666,101.448837,101.033348,101.193001,101.368340,101.266861,101.157372,101.320534,101.258766,101.319939,101.102028,101.275749,101.317047,101.175858,101.334373,101.296738,101.364273,101.358002
100.824684,100.920067,100.633881,101.032494,100.884155,101.099266,101.014656,100.875618,101.227211,101.070503,100.783768,100.981941,100.819321,100.849876,100.707451,101.184151,101.132843,101.199753,100.816376,101.131638,101.100540,101.123665,101.239006,100.831169,101.084930,101.172264,101.217583,101.095024,100.964218,101.163429,101.128075,101.213394,101.133476,101.182999,101.167473,101.242805,101.283218,101.327896,101.202194,101.252640,101.147545,101.237076,101.284744,101.409378,101.337448,101.289825,101.288666,101.448837,101.033348,101.193665,101.368340,101.267212,101.157051,101.320534,101.259926,101.319603,101.101013,101.276413,101.316711,101.175858,101.334373,101.297073,101.364609,101.357330
100.824341,100.920067,100.632874,101.032494,100.883980,101.099266,101.013847,100.876419,101.227211,101.070168,100.783424,100.982437,100.818985,100.851006,100.707115,101.183487,101.131660,101.200089,100.815567,101.131638,101.100876,101.124001,101.238190,100.831169,101.086411,101.171608,101.217247,101.094360,100.965714,101.163101,101.127739,101.213058,101.133476,101.182510,101.167130,101.242470,101.285034,101.327896,101.202858,101.251053,101.147209,101.237076,101.284569,101.409042,101.337448,101.289978,101.289009,101.447678,101.033676,101.194000,101.369019,101.266525,101.158035,101.320206,101.259087,101.319603,101.100540,101.277206,101.317520,101.176193,101.333290,101.297073,101.364609,101.357330
100.824684,100.919731,100.632050,101.032829,100.882835,101.099937,101.014320,100.876755,101.227547,101.070641,100.783096,100.982773,100.818985,100.850670,100.706245,101.183487,101.131332,101.200089,100.815720,101.131973,101.100876,101.124001,101.237862,100.832191,101.086411,101.170952,101.216568,101.094360,100.966354,101.163101,101.127403,101.212387,101.133812,101.182510,101.166794,101.242142,101.285034,101.328217,101.203537,101.252182,101.148048,101.237907,101.285416,101.407898,101.337128,101.290306,101.289810,101.448357,101.034019,101.193329,101.368164,101.265839,101.158371,101.320534,101.260574,101.319275,101.102028,101.277542,101.316711,101.175659,101.332611,101.296074,101.365273,101.357002
100.825020,100.919060,100.632874,101.032829,100.882515,101.098923,101.013847,100.875618,101.228317,101.070312,100.782440,100.983452,100.819321,100.850334,100.705070,101.183151,101.131332,101.200424,100.815376,101.131638,101.100540,101.124001,101.237526,100.832191,101.086411,101.171608,101.217583,101.095825,100.965714,101.163757,101.126564,101.212387,101.133141,101.182999,101.166092,101.242142,101.284706,101.327896,101.203537,101.252518,101.147720,101.237572,101.284409,101.407898,101.336449,101.290306,101.288338,101.448357,101.033249,101.193329,101.368668,101.266525,101.158035,101.320869,101.260574,101.319275,101.101547,101.277206,101.317047,101.175995,101.332611,101.296074,101.365608,101.357002
100.826828,100.919060,100.631714,101.032166,100.882835,101.098595,101.014183,100.875954,101.227882,101.070984,100.782440,100.983452,100.819641,100.849197,100.705070,101.183151,101.131332,101.201225,100.816048,101.131638,101.100388,101.124344,101.237862,100.832535,101.086082,101.170624,101.217934,101.095024,100.964859,101.163429,101.127228,101.212723,101.133141,101.182671,101.165070,101.243637,101.284355,101.327560,101.203354,101.251846,101.148582,101.237411,101.284744,101.408577,101.336449,101.290306,101.288666,101.449043,101.033676,101.193665,101.369339,101.267326,101.159035,101.321213,101.260918,101.319275,101.102364,101.276413,101.317520,101.175995,101.332611,101.296738,101.364479,101.356339
100.827171,100.920204,100.632202,101.032494,100.882835,101.098595,101.014526,100.876297,101.228218,101.071320,100.783096,100.984108,100.820305,100.850334,100.705414,101.182503,101.130997,101.200554,100.816376,101.131302,101.100540,101.124687,101.237526,100.832314,101.084602,101.171448,101.217934,101.094696,100.963570,101.162582,101.127403,101.212723,101.132462,101.181839,101.165070,101.244308,101.284019,101.327225,101.204010,101.252182,101.148048,101.238083,101.284744,101.407898,101.336014,101.290306,101.288338,101.449860,101.034355,101.193329,101.369339,101.266182,101.158371,101.321869,101.260918,101.319603,101.103035,101.276413,101.317047,101.176331,101.331924,101.296738,101.365608,101.355331
